variant_id,final_pnl_total,day_0_pnl,day_1_pnl,day_2_pnl,min_day_pnl,positive_days,own_trade_count,threshold,exit_threshold,rv_alpha,horizon,ridge_lambda,threshold_quantile,min_score,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip
qpconv_a0p015_h400_l10_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,-2377.0,-331.0,-958.0,-1088.0,-1088.0,0,1268,0.1,0.025,0.015,400,10.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p015_h400_l10_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,-2377.0,-331.0,-958.0,-1088.0,-1088.0,0,1268,0.1,0.025,0.015,400,10.0,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p008_h400_l10_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,-2493.0,-333.0,-988.0,-1172.0,-1172.0,0,1310,0.1,0.025,0.008,400,10.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h400_l10_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,-2493.0,-333.0,-988.0,-1172.0,-1172.0,0,1310,0.1,0.025,0.008,400,10.0,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p008_h400_l0p1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,-2542.0,-354.0,-1000.0,-1188.0,-1188.0,0,1334,0.1,0.025,0.008,400,0.1,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h400_l0p1_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,-2542.0,-354.0,-1000.0,-1188.0,-1188.0,0,1334,0.1,0.025,0.008,400,0.1,0.98,0.1,1.0,4,40,20,300,60
qpconv_a0p008_h400_l1_q0p98_s0p1_m1_clip4_pos20_dh20_hi300_hc60,-2539.0,-351.0,-996.0,-1192.0,-1192.0,0,1330,0.1,0.025,0.008,400,1.0,0.98,0.1,1.0,4,20,20,300,60
qpconv_a0p008_h400_l1_q0p98_s0p1_m1_clip4_pos40_dh20_hi300_hc60,-2539.0,-351.0,-996.0,-1192.0,-1192.0,0,1330,0.1,0.025,0.008,400,1.0,0.98,0.1,1.0,4,40,20,300,60
