product,side,thr,total,product_total,rc,size
HYDROGEL_PACK,-1,0,977138.0,38820.0,0,94194
HYDROGEL_PACK,-1,0.25,977138.0,38820.0,0,94197
HYDROGEL_PACK,-1,0.5,977138.0,38820.0,0,94196
HYDROGEL_PACK,-1,0.75,976702.0,38384.0,0,94197
HYDROGEL_PACK,-1,1,976702.0,38384.0,0,94194
HYDROGEL_PACK,-1,1.25,977063.0,38745.0,0,94197
HYDROGEL_PACK,-1,1.5,977063.0,38745.0,0,94196
HYDROGEL_PACK,-1,2,977052.0,38734.0,0,94194
HYDROGEL_PACK,-1,3,975353.0,37035.0,0,94194
HYDROGEL_PACK,1,0,977138.0,38820.0,0,94193
HYDROGEL_PACK,1,0.25,977138.0,38820.0,0,94196
HYDROGEL_PACK,1,0.5,975807.0,37489.0,0,94195
HYDROGEL_PACK,1,0.75,975662.0,37344.0,0,94196
HYDROGEL_PACK,1,1,975900.0,37582.0,0,94193
HYDROGEL_PACK,1,1.25,974946.0,36628.0,0,94196
HYDROGEL_PACK,1,1.5,974946.0,36628.0,0,94195
HYDROGEL_PACK,1,2,974852.0,36534.0,0,94193
HYDROGEL_PACK,1,3,969374.0,31056.0,0,94193
VELVETFRUIT_EXTRACT,-1,1,969412.5,276371.0,0,94172
VELVETFRUIT_EXTRACT,-1,1.25,975323.0,282281.5,0,94175
VELVETFRUIT_EXTRACT,-1,1.5,977138.0,284096.5,0,94174
VELVETFRUIT_EXTRACT,-1,1.75,978125.0,285083.5,0,94175
VELVETFRUIT_EXTRACT,-1,2,978125.0,285083.5,0,94172
VELVETFRUIT_EXTRACT,-1,2.25,971502.5,278461.0,0,94175
VELVETFRUIT_EXTRACT,-1,2.5,971658.5,278617.0,0,94174
VELVETFRUIT_EXTRACT,-1,3,973211.5,280170.0,0,94172
VELVETFRUIT_EXTRACT,-1,4,960438.5,267397.0,0,94172
VELVETFRUIT_EXTRACT,1,1,956839.5,263798.0,0,94172
VELVETFRUIT_EXTRACT,1,1.25,972279.0,279237.5,0,94175
VELVETFRUIT_EXTRACT,1,1.5,975267.0,282225.5,0,94174
VELVETFRUIT_EXTRACT,1,1.75,975056.0,282014.5,0,94175
VELVETFRUIT_EXTRACT,1,2,975906.0,282864.5,0,94172
VELVETFRUIT_EXTRACT,1,2.25,977224.0,284182.5,0,94175
VELVETFRUIT_EXTRACT,1,2.5,977138.0,284096.5,0,94174
VELVETFRUIT_EXTRACT,1,3,979811.0,286769.5,0,94172
VELVETFRUIT_EXTRACT,1,4,952809.0,259767.5,0,94172
VEV_5000,-1,0,975782.0,134614.0,0,94172
VEV_5000,-1,0.25,975941.0,134773.0,0,94175
VEV_5000,-1,0.5,977138.0,135970.0,0,94174
VEV_5000,-1,0.625,975296.5,134128.5,0,94176
VEV_5000,-1,0.75,975669.0,134501.0,0,94175
VEV_5000,-1,0.875,975282.5,134114.5,0,94176
VEV_5000,-1,1,975282.5,134114.5,0,94172
VEV_5000,-1,1.125,955451.0,114283.0,0,94176
VEV_5000,-1,1.25,955451.0,114283.0,0,94175
VEV_5000,-1,1.5,952586.5,111418.5,0,94174
VEV_5000,1,0,973432.5,132264.5,0,94188
VEV_5000,1,0.25,973816.5,132648.5,0,94191
VEV_5000,1,0.5,974695.0,133527.0,0,94190
VEV_5000,1,0.625,974956.0,133788.0,0,94192
VEV_5000,1,0.75,976364.0,135196.0,0,94191
VEV_5000,1,0.875,977138.0,135970.0,0,94192
VEV_5000,1,1,977138.0,135970.0,0,94188
VEV_5000,1,1.125,960135.5,118967.5,0,94192
VEV_5000,1,1.25,958750.0,117582.0,0,94191
VEV_5000,1,1.5,958810.0,117642.0,0,94190
VEV_5100,-1,0.5,977982.5,231785.0,0,94191
VEV_5100,-1,0.625,977565.0,231367.5,0,94193
VEV_5100,-1,0.75,977138.0,230940.5,0,94192
VEV_5100,-1,0.875,977754.0,231556.5,0,94193
VEV_5100,-1,1,977754.0,231556.5,0,94189
VEV_5100,-1,1.125,957985.0,211787.5,0,94193
VEV_5100,-1,1.25,957985.0,211787.5,0,94192
VEV_5100,-1,1.5,956796.0,210598.5,0,94191
VEV_5100,-1,2,950330.0,204132.5,0,94189
VEV_5100,1,0.5,974635.0,228437.5,0,94176
VEV_5100,1,0.625,976962.0,230764.5,0,94178
VEV_5100,1,0.75,976589.0,230391.5,0,94177
VEV_5100,1,0.875,976917.0,230719.5,0,94178
VEV_5100,1,1,977138.0,230940.5,0,94174
VEV_5100,1,1.125,970166.5,223969.0,0,94178
VEV_5100,1,1.25,970270.5,224073.0,0,94177
VEV_5100,1,1.5,969361.0,223163.5,0,94176
VEV_5100,1,2,959898.5,213701.0,0,94174
VEV_5200,-1,0.5,973641.0,194232.5,0,94176
VEV_5200,-1,0.625,976470.0,197061.5,0,94178
VEV_5200,-1,0.75,976453.0,197044.5,0,94177
VEV_5200,-1,0.875,976862.0,197453.5,0,94178
VEV_5200,-1,1,977138.0,197729.5,0,94174
VEV_5200,-1,1.125,968739.0,189330.5,0,94178
VEV_5200,-1,1.25,968609.0,189200.5,0,94177
VEV_5200,-1,1.5,966828.0,187419.5,0,94176
VEV_5200,-1,2,956709.0,177300.5,0,94174
VEV_5200,1,0.5,975385.5,195977.0,0,94172
VEV_5200,1,0.625,977138.0,197729.5,0,94174
VEV_5200,1,0.75,976027.0,196618.5,0,94173
VEV_5200,1,0.875,975351.0,195942.5,0,94174
VEV_5200,1,1,975351.0,195942.5,0,94170
VEV_5200,1,1.125,958391.5,178983.0,0,94174
VEV_5200,1,1.25,958913.5,179505.0,0,94173
VEV_5200,1,1.5,957437.0,178028.5,0,94172
VEV_5200,1,2,953350.5,173942.0,0,94170
VEV_5300,-1,0,976203.0,76635.0,0,94171
VEV_5300,-1,0.25,977138.0,77570.0,0,94174
VEV_5300,-1,0.5,976975.0,77407.0,0,94173
VEV_5300,-1,0.625,973757.0,74189.0,0,94175
