variant_id,test_day,train_days,test_proxy_pnl,test_trade_count,test_hit_rate,threshold,rv_alpha,horizon,ridge_lambda,threshold_quantile,min_score,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip
qpconv_a0p008_h100_l0p1_q0p98_s0p2_m1_clip1_pos40_dh20_hi300_hc60,2,"0,1",58.251713541031634,110,0.8181818181818182,0.2,0.008,100,0.1,0.98,0.2,1.0,1,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p2_m1_clip2_pos20_dh20_hi300_hc60,0,"1,2",27.612918261203,42,0.6666666666666666,0.2,0.008,100,0.1,0.98,0.2,1.0,2,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p2_m1_clip2_pos20_dh20_hi300_hc60,1,"0,2",42.12472102206734,79,0.569620253164557,0.2,0.008,100,0.1,0.98,0.2,1.0,2,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p2_m1_clip2_pos20_dh20_hi300_hc60,2,"0,1",116.50342708206327,110,0.8181818181818182,0.2,0.008,100,0.1,0.98,0.2,1.0,2,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p2_m1_clip2_pos40_dh20_hi300_hc60,0,"1,2",27.612918261203,42,0.6666666666666666,0.2,0.008,100,0.1,0.98,0.2,1.0,2,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p2_m1_clip2_pos40_dh20_hi300_hc60,1,"0,2",42.12472102206734,79,0.569620253164557,0.2,0.008,100,0.1,0.98,0.2,1.0,2,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p2_m1_clip2_pos40_dh20_hi300_hc60,2,"0,1",116.50342708206327,110,0.8181818181818182,0.2,0.008,100,0.1,0.98,0.2,1.0,2,40,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p2_m1_clip4_pos20_dh20_hi300_hc60,0,"1,2",42.92629837928783,42,0.6666666666666666,0.2,0.008,100,0.1,0.98,0.2,1.0,4,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p2_m1_clip4_pos20_dh20_hi300_hc60,1,"0,2",67.4701865286804,79,0.569620253164557,0.2,0.008,100,0.1,0.98,0.2,1.0,4,20,20,300,60
qpconv_a0p008_h100_l0p1_q0p98_s0p2_m1_clip4_pos20_dh20_hi300_hc60,2,"0,1",189.82796802327962,110,0.8181818181818182,0.2,0.008,100,0.1,0.98,0.2,1.0,4,20,20,300,60
