target,category,model_type,n_features,features,intercept,coefficients,residual_mean,residual_std,loo_edge_mean,loo_edge_min,loo_positive_days,loo_mr_ic_mean,activation_mean,resid_std_mean,residual_penalty,train_day1_test_day2_3_edge,train_day1_test_day2_3_mr_ic,train_day1_2_test_day3_edge,train_day1_2_test_day3_mr_ic,avg_spread,basket_score,loo_edges,feature_sets_by_loo
PEBBLES_XL,pebbles,same_category,4,"PEBBLES_XS,PEBBLES_S,PEBBLES_M,PEBBLES_L",49995.19128265385,"{""PEBBLES_L"":-0.999916325427428,""PEBBLES_M"":-0.9997071845675222,""PEBBLES_S"":-1.000062962618803,""PEBBLES_XS"":-0.9998036157123632}",2.040057249056796e-12,2.8047775983284478,16.57751135993983,16.481705492377518,3,0.7080678079166963,0.028490313961255846,2.8138565124255277,1.0,16.623707774970804,0.7120569826330856,16.507931380704903,0.7103855096973478,16.630766666666666,2.128247757365858,"[16.481705492377518,16.74289720673707,16.507931380704903]","[[""PEBBLES_XS"",""PEBBLES_S"",""PEBBLES_M"",""PEBBLES_L""],[""PEBBLES_XS"",""PEBBLES_S"",""PEBBLES_M"",""PEBBLES_L""],[""PEBBLES_XS"",""PEBBLES_S"",""PEBBLES_M"",""PEBBLES_L""]]"
PEBBLES_XS,pebbles,same_category,4,"PEBBLES_S,PEBBLES_M,PEBBLES_L,PEBBLES_XL",49971.91196943407,"{""PEBBLES_L"":-0.9995108528873751,""PEBBLES_M"":-0.999609443564635,""PEBBLES_S"":-0.9987000329499331,""PEBBLES_XL"":-0.9994381473823025}",-4.684989107772708e-12,2.834161815710213,6.104252523761333,0.8146518040695299,3,0.6484592084540196,0.3687708750835003,3.102936163721036,1.0,0.4743442119999368,0.5333080587541548,16.242946201309678,0.7004344511457754,9.744866666666667,1.2907579482261247,"[1.2551595659047905,0.8146518040695299,16.242946201309678]","[[""PEBBLES_S"",""PEBBLES_M"",""PEBBLES_L"",""PEBBLES_XL""],[""PEBBLES_S"",""PEBBLES_M"",""PEBBLES_L"",""PEBBLES_XL""],[""PEBBLES_S"",""PEBBLES_M"",""PEBBLES_L"",""PEBBLES_XL""]]"
PEBBLES_L,pebbles,same_category,4,"PEBBLES_XS,PEBBLES_S,PEBBLES_M,PEBBLES_XL",49938.69811523145,"{""PEBBLES_M"":-0.998003639410232,""PEBBLES_S"":-0.9984801090430161,""PEBBLES_XL"":-0.9986970349859378,""PEBBLES_XS"":-0.9986571061108583}",2.072677792360385e-12,2.9020406736262907,7.66725864353936,3.4125497745166786,3,0.6317813033878894,0.09362057448229794,3.171146338484416,1.0,0.7216937222715676,0.549224539089115,4.6981704108345195,0.6092600871458551,13.0205,1.2011145215973578,"[14.891055745266879,3.4125497745166786,4.6981704108345195]","[[""PEBBLES_XS"",""PEBBLES_S"",""PEBBLES_M"",""PEBBLES_XL""],[""PEBBLES_XS"",""PEBBLES_S"",""PEBBLES_M"",""PEBBLES_XL""],[""PEBBLES_XS"",""PEBBLES_S"",""PEBBLES_M"",""PEBBLES_XL""]]"
PEBBLES_M,pebbles,same_category,4,"PEBBLES_XS,PEBBLES_S,PEBBLES_L,PEBBLES_XL",49931.40527805429,"{""PEBBLES_L"":-0.997772217949449,""PEBBLES_S"":-0.9986697586263535,""PEBBLES_XL"":-0.9982566153398008,""PEBBLES_XS"":-0.9985240167438333}",4.514489167680343e-12,2.9169705939341664,6.961471616495459,1.022027050552315,3,0.5775403411308361,0.22137608550434204,3.7289794512266305,1.0,0.6079178200451101,0.3438921006928313,5.127229846465583,0.6667948281724124,13.1209,1.0462318046645884,"[14.735157952468477,1.022027050552315,5.127229846465583]","[[""PEBBLES_XS"",""PEBBLES_S"",""PEBBLES_L"",""PEBBLES_XL""],[""PEBBLES_XS"",""PEBBLES_S"",""PEBBLES_L"",""PEBBLES_XL""],[""PEBBLES_XS"",""PEBBLES_S"",""PEBBLES_L"",""PEBBLES_XL""]]"
PEBBLES_S,pebbles,same_category,4,"PEBBLES_XS,PEBBLES_M,PEBBLES_L,PEBBLES_XL",49907.880986643504,"{""PEBBLES_L"":-0.9976503007994344,""PEBBLES_M"":-0.9980712299043956,""PEBBLES_XL"":-0.998013383127127,""PEBBLES_XS"":-0.9970176966799911}",-4.112613775456945e-12,2.9597720549018742,3.9892987898571044,0.5573040014991509,3,0.5336950833777947,0.5441215764863059,4.1672571750837095,1.0,0.9977259762727143,0.4267073479999639,0.5573040014991509,0.576452532401942,11.551533333333333,0.662073138212044,"[10.793000003580119,0.6175923644920439,0.5573040014991509]","[[""PEBBLES_XS"",""PEBBLES_M"",""PEBBLES_L"",""PEBBLES_XL""],[""PEBBLES_XS"",""PEBBLES_M"",""PEBBLES_L"",""PEBBLES_XL""],[""PEBBLES_XS"",""PEBBLES_M"",""PEBBLES_L"",""PEBBLES_XL""]]"
PEBBLES_S,pebbles,cross_category_top8,8,"MICROCHIP_OVAL,GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_GARLIC,ROBOT_DISHES,PANEL_2X4,MICROCHIP_TRIANGLE,UV_VISOR_RED,UV_VISOR_AMBER",20405.60758549712,"{""GALAXY_SOUNDS_BLACK_HOLES"":-0.1098247137017621,""MICROCHIP_OVAL"":-0.0051906577082517745,""MICROCHIP_TRIANGLE"":0.023207066475950416,""OXYGEN_SHAKE_GARLIC"":-0.20521929322140006,""PANEL_2X4"":-0.21630322163460805,""ROBOT_DISHES"":-0.15649405319419982,""UV_VISOR_AMBER"":0.09905050451474774,""UV_VISOR_RED"":-0.42735764576000806}",1.767572636405627e-12,274.9545974712483,8.745361537371942,5.68889707611463,3,0.09916784360976139,0.449064796259185,377.5150025463706,0.15299436122296153,1.0336385881330459,0.08244078014688896,9.266477336179953,0.07382304304121004,11.551533333333333,0.15914301613483783,"[5.68889707611463,11.280710199821243,9.266477336179953]","[[""UV_VISOR_RED"",""SLEEP_POD_NYLON"",""MICROCHIP_OVAL"",""MICROCHIP_TRIANGLE"",""PANEL_1X2"",""OXYGEN_SHAKE_CHOCOLATE"",""OXYGEN_SHAKE_GARLIC"",""PANEL_2X2""],[""OXYGEN_SHAKE_GARLIC"",""MICROCHIP_OVAL"",""UV_VISOR_AMBER"",""TRANSLATOR_VOID_BLUE"",""PANEL_2X4"",""GALAXY_SOUNDS_BLACK_HOLES"",""ROBOT_IRONING"",""UV_VISOR_RED""],[""GALAXY_SOUNDS_BLACK_HOLES"",""OXYGEN_SHAKE_GARLIC"",""SLEEP_POD_POLYESTER"",""UV_VISOR_AMBER"",""UV_VISOR_YELLOW"",""MICROCHIP_SQUARE"",""GALAXY_SOUNDS_DARK_MATTER"",""PANEL_2X4""]]"
SLEEP_POD_LAMB_WOOL,sleep_pods,same_category,4,"SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,SLEEP_POD_COTTON",7264.209963125813,"{""SLEEP_POD_COTTON"":0.06319050122734751,""SLEEP_POD_NYLON"":0.44240915275876447,""SLEEP_POD_POLYESTER"":-0.16500482323876448,""SLEEP_POD_SUEDE"":0.03503266850317723}",4.3655745685100554e-13,348.6811585295278,7.0305175675809615,1.9867502818958835,3,0.08722651705131773,0.4348029392117569,355.7010931039128,0.13213482024996057,-0.08617168619563247,0.04340626074116301,15.318865860176052,0.0930705277679632,9.4001,0.13430808332229632,"[1.9867502818958835,3.7859365606709487,15.318865860176052]","[[""SLEEP_POD_SUEDE"",""SLEEP_POD_POLYESTER"",""SLEEP_POD_NYLON"",""SLEEP_POD_COTTON""],[""SLEEP_POD_SUEDE"",""SLEEP_POD_POLYESTER"",""SLEEP_POD_NYLON"",""SLEEP_POD_COTTON""],[""SLEEP_POD_SUEDE"",""SLEEP_POD_POLYESTER"",""SLEEP_POD_NYLON"",""SLEEP_POD_COTTON""]]"
OXYGEN_SHAKE_MORNING_BREATH,oxygen_shakes,cross_category_top8,8,"PEBBLES_M,PANEL_1X4,GALAXY_SOUNDS_SOLAR_WINDS,ROBOT_MOPPING,ROBOT_VACUUMING,ROBOT_IRONING,MICROCHIP_OVAL,PEBBLES_XS",13626.24593168887,"{""GALAXY_SOUNDS_SOLAR_WINDS"":-0.14580651445478948,""MICROCHIP_OVAL"":-0.14088151536338317,""PANEL_1X4"":0.17212721343759704,""PEBBLES_M"":-0.39729696943975806,""PEBBLES_XS"":0.18706466782329068,""ROBOT_IRONING"":0.03370912742765467,""ROBOT_MOPPING"":-0.06739301897957937,""ROBOT_VACUUMING"":0.06305463448853114}",1.1272883663574855e-12,262.7688862676719,6.470330026613328,2.512021722007985,3,0.09620382598585782,0.6003674014696059,340.1440519045218,0.1879042118835603,-1.5012791495112843,0.0733400519917693,2.512021722007985,0.0947644852007135,12.7829,0.13032714541917909,"[9.361842409698525,7.537125948133473,2.512021722007985]","[[""GALAXY_SOUNDS_SOLAR_WINDS"",""PEBBLES_M"",""ROBOT_MOPPING"",""ROBOT_VACUUMING"",""PANEL_1X4"",""PEBBLES_XS"",""ROBOT_IRONING"",""MICROCHIP_RECTANGLE""],[""MICROCHIP_OVAL"",""PANEL_1X4"",""ROBOT_IRONING"",""PEBBLES_M"",""ROBOT_LAUNDRY"",""PEBBLES_XS"",""UV_VISOR_AMBER"",""PANEL_2X2""],[""PEBBLES_M"",""MICROCHIP_OVAL"",""PANEL_1X4"",""ROBOT_MOPPING"",""ROBOT_IRONING"",""GALAXY_SOUNDS_SOLAR_WINDS"",""MICROCHIP_RECTANGLE"",""MICROCHIP_SQUARE""]]"
OXYGEN_SHAKE_MORNING_BREATH,oxygen_shakes,global_top8,8,"PEBBLES_M,PANEL_1X4,GALAXY_SOUNDS_SOLAR_WINDS,ROBOT_MOPPING,ROBOT_VACUUMING,ROBOT_IRONING,MICROCHIP_OVAL,PEBBLES_XS",13626.24593168887,"{""GALAXY_SOUNDS_SOLAR_WINDS"":-0.14580651445478948,""MICROCHIP_OVAL"":-0.14088151536338317,""PANEL_1X4"":0.17212721343759704,""PEBBLES_M"":-0.39729696943975806,""PEBBLES_XS"":0.18706466782329068,""ROBOT_IRONING"":0.03370912742765467,""ROBOT_MOPPING"":-0.06739301897957937,""ROBOT_VACUUMING"":0.06305463448853114}",1.1272883663574855e-12,262.7688862676719,6.470330026613328,2.512021722007985,3,0.09620382598585782,0.6003674014696059,340.1440519045218,0.1879042118835603,-1.5012791495112843,0.0733400519917693,2.512021722007985,0.0947644852007135,12.7829,0.13032714541917909,"[9.361842409698525,7.537125948133473,2.512021722007985]","[[""GALAXY_SOUNDS_SOLAR_WINDS"",""PEBBLES_M"",""ROBOT_MOPPING"",""ROBOT_VACUUMING"",""PANEL_1X4"",""PEBBLES_XS"",""ROBOT_IRONING"",""MICROCHIP_RECTANGLE""],[""MICROCHIP_OVAL"",""PANEL_1X4"",""ROBOT_IRONING"",""PEBBLES_M"",""ROBOT_LAUNDRY"",""PEBBLES_XS"",""UV_VISOR_AMBER"",""PANEL_2X2""],[""PEBBLES_M"",""MICROCHIP_OVAL"",""PANEL_1X4"",""ROBOT_MOPPING"",""ROBOT_IRONING"",""GALAXY_SOUNDS_SOLAR_WINDS"",""MICROCHIP_RECTANGLE"",""MICROCHIP_SQUARE""]]"
TRANSLATOR_VOID_BLUE,translators,same_category,4,"TRANSLATOR_SPACE_GRAY,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_GRAPHITE_MIST",15352.889969332791,"{""TRANSLATOR_ASTRO_BLACK"":-0.6238305358361764,""TRANSLATOR_ECLIPSE_CHARCOAL"":0.506554522944718,""TRANSLATOR_GRAPHITE_MIST"":0.021497653057752465,""TRANSLATOR_SPACE_GRAY"":-0.4058052983164}",2.2196521361668904e-12,329.15620778219534,6.930670478847556,1.9416374877657328,3,0.07204882656974212,0.6069806279225117,373.8798777532038,0.1273760268124653,-1.5625939148157941,0.11133213779449347,3.888100515520923,0.09524941128976835,9.524666666666667,0.12420461751712994,"[1.9416374877657328,14.962273433256016,3.888100515520923]","[[""TRANSLATOR_SPACE_GRAY"",""TRANSLATOR_ASTRO_BLACK"",""TRANSLATOR_ECLIPSE_CHARCOAL"",""TRANSLATOR_GRAPHITE_MIST""],[""TRANSLATOR_SPACE_GRAY"",""TRANSLATOR_ASTRO_BLACK"",""TRANSLATOR_ECLIPSE_CHARCOAL"",""TRANSLATOR_GRAPHITE_MIST""],[""TRANSLATOR_SPACE_GRAY"",""TRANSLATOR_ASTRO_BLACK"",""TRANSLATOR_ECLIPSE_CHARCOAL"",""TRANSLATOR_GRAPHITE_MIST""]]"
