product,side,thr,total,product_total,rc,size,err
VEV_4000,-1,1.75,963000.0,282.0,0,93909,
VEV_4000,-1,2,963000.0,282.0,0,93906,
VEV_4000,-1,2.25,962962.0,244.0,0,93909,
VEV_4000,-1,2.5,962962.0,244.0,0,93908,
VEV_4000,-1,3,962962.0,244.0,0,93906,
VEV_4000,-1,4,962941.0,223.0,0,93906,
VEV_4000,-1,5,962941.0,223.0,0,93906,
VEV_4000,1,0,963001.0,283.0,0,93905,
VEV_4000,1,0.25,963001.0,283.0,0,93908,
VEV_4000,1,0.5,963001.0,283.0,0,93907,
VEV_4000,1,0.625,963001.0,283.0,0,93909,
VEV_4000,1,0.75,963001.0,283.0,0,93908,
VEV_4000,1,0.875,963001.0,283.0,0,93909,
VEV_4000,1,1,963001.0,283.0,0,93905,
VEV_4000,1,1.125,962892.0,174.0,0,93909,
VEV_4000,1,1.25,962892.0,174.0,0,93908,
VEV_4000,1,1.5,962892.0,174.0,0,93907,
VEV_4000,1,1.75,962892.0,174.0,0,93908,
VEV_4000,1,2,962892.0,174.0,0,93905,
VEV_4000,1,2.25,962914.0,196.0,0,93908,
VEV_4000,1,2.5,962914.0,196.0,0,93907,
VEV_4000,1,3,962914.0,196.0,0,93905,
VEV_4000,1,4,962914.0,196.0,0,93905,
VEV_4000,1,5,962918.0,200.0,0,93905,
VEV_4500,-1,0,963001.0,819.0,0,93906,
VEV_4500,-1,0.25,963001.0,819.0,0,93909,
VEV_4500,-1,0.5,963001.0,819.0,0,93908,
VEV_4500,-1,0.625,963001.0,819.0,0,93910,
VEV_4500,-1,0.75,963001.0,819.0,0,93909,
VEV_4500,-1,0.875,963001.0,819.0,0,93910,
VEV_4500,-1,1,963001.0,819.0,0,93906,
VEV_4500,-1,1.125,962979.0,797.0,0,93910,
VEV_4500,-1,1.25,962979.0,797.0,0,93909,
VEV_4500,-1,1.5,962979.0,797.0,0,93908,
VEV_4500,-1,1.75,962979.0,797.0,0,93909,
VEV_4500,-1,2,962979.0,797.0,0,93906,
VEV_4500,-1,2.25,962965.0,783.0,0,93909,
VEV_4500,-1,2.5,962965.0,783.0,0,93908,
VEV_4500,-1,3,962965.0,783.0,0,93906,
VEV_4500,-1,4,962941.0,759.0,0,93906,
VEV_4500,-1,5,962901.0,719.0,0,93906,
VEV_4500,1,0,963001.0,819.0,0,93905,
VEV_4500,1,0.25,963001.0,819.0,0,93908,
VEV_4500,1,0.5,963001.0,819.0,0,93907,
VEV_4500,1,0.625,963001.0,819.0,0,93909,
VEV_4500,1,0.75,963001.0,819.0,0,93908,
VEV_4500,1,0.875,963001.0,819.0,0,93909,
VEV_4500,1,1,963001.0,819.0,0,93905,
VEV_4500,1,1.125,962962.0,780.0,0,93909,
VEV_4500,1,1.25,962962.0,780.0,0,93908,
VEV_4500,1,1.5,962962.0,780.0,0,93907,
VEV_4500,1,1.75,962962.0,780.0,0,93908,
VEV_4500,1,2,962962.0,780.0,0,93905,
VEV_4500,1,2.25,962858.0,676.0,0,93908,
VEV_4500,1,2.5,962858.0,676.0,0,93907,
VEV_4500,1,3,962858.0,676.0,0,93905,
VEV_4500,1,4,962840.0,658.0,0,93905,
VEV_4500,1,5,962792.0,610.0,0,93905,
VEV_5000,-1,0,963500.5,134614.0,0,93906,
VEV_5000,-1,0.25,963659.5,134773.0,0,93909,
VEV_5000,-1,0.5,964856.5,135970.0,0,93908,
VEV_5000,-1,0.625,963015.0,134128.5,0,93910,
VEV_5000,-1,0.75,963387.5,134501.0,0,93909,
VEV_5000,-1,0.875,963001.0,134114.5,0,93910,
VEV_5000,-1,1,963001.0,134114.5,0,93906,
VEV_5000,-1,1.125,943169.5,114283.0,0,93910,
VEV_5000,-1,1.25,943169.5,114283.0,0,93909,
VEV_5000,-1,1.5,940305.0,111418.5,0,93908,
VEV_5000,-1,1.75,939765.0,110878.5,0,93909,
VEV_5000,-1,2,939765.0,110878.5,0,93906,
VEV_5000,-1,2.25,917215.0,88328.5,0,93909,
VEV_5000,-1,2.5,917203.0,88316.5,0,93908,
VEV_5000,-1,3,914500.5,85614.0,0,93906,
VEV_5000,-1,4,898507.0,69620.5,0,93906,
VEV_5000,-1,5,878957.0,50070.5,0,93906,
VEV_5000,1,0,956193.5,127307.0,0,93905,
VEV_5000,1,0.25,956154.5,127268.0,0,93908,
VEV_5000,1,0.5,956879.0,127992.5,0,93907,
VEV_5000,1,0.625,959671.0,130784.5,0,93909,
VEV_5000,1,0.75,961777.0,132890.5,0,93908,
VEV_5000,1,0.875,963001.0,134114.5,0,93909,
VEV_5000,1,1,963001.0,134114.5,0,93905,
VEV_5000,1,1.125,947695.0,118808.5,0,93909,
VEV_5000,1,1.25,947084.5,118198.0,0,93908,
VEV_5000,1,1.5,947030.5,118144.0,0,93907,
VEV_5000,1,1.75,942260.5,113374.0,0,93908,
VEV_5000,1,2,942260.5,113374.0,0,93905,
VEV_5000,1,2.25,929925.0,101038.5,0,93908,
VEV_5000,1,2.5,927808.5,98922.0,0,93907,
VEV_5000,1,3,926636.5,97750.0,0,93905,
VEV_5000,1,4,892635.5,63749.0,0,93905,
VEV_5000,1,5,874393.5,45507.0,0,93905,
VEV_5100,-1,0,961645.0,226472.5,0,93906,
VEV_5100,-1,0.25,961231.5,226059.0,0,93909,
VEV_5100,-1,0.5,961336.5,226164.0,0,93908,
VEV_5100,-1,0.625,961768.0,226595.5,0,93910,
VEV_5100,-1,0.75,963001.0,227828.5,0,93909,
VEV_5100,-1,0.875,962814.0,227641.5,0,93910,
VEV_5100,-1,1,962814.0,227641.5,0,93906,
VEV_5100,-1,1.125,944428.5,209256.0,0,93910,
VEV_5100,-1,1.25,944428.5,209256.0,0,93909,
VEV_5100,-1,1.5,942646.5,207474.0,0,93908,
VEV_5100,-1,1.75,937157.0,201984.5,0,93909,
VEV_5100,-1,2,936917.0,201744.5,0,93906,
VEV_5100,-1,2.25,900073.0,164900.5,0,93909,
VEV_5100,-1,2.5,895740.5,160568.0,0,93908,
VEV_5100,-1,3,888970.5,153798.0,0,93906,
VEV_5100,-1,4,851998.5,116826.0,0,93906,
VEV_5100,-1,5,820586.5,85414.0,0,93906,
VEV_5100,1,0,959448.0,224275.5,0,93905,
VEV_5100,1,0.25,958880.0,223707.5,0,93908,
VEV_5100,1,0.5,960482.5,225310.0,0,93907,
VEV_5100,1,0.625,962687.0,227514.5,0,93909,
VEV_5100,1,0.75,963001.0,227828.5,0,93908,
VEV_5100,1,0.875,963101.0,227928.5,0,93909,
VEV_5100,1,1,963172.0,227999.5,0,93905,
VEV_5100,1,1.125,952935.5,217763.0,0,93909,
VEV_5100,1,1.25,952829.5,217657.0,0,93908,
VEV_5100,1,1.5,951886.5,216714.0,0,93907,
VEV_5100,1,1.75,942132.5,206960.0,0,93908,
VEV_5100,1,2,941050.0,205877.5,0,93905,
VEV_5100,1,2.25,914912.5,179740.0,0,93908,
VEV_5100,1,2.5,912673.0,177500.5,0,93907,
VEV_5100,1,3,903275.5,168103.0,0,93905,
VEV_5100,1,4,854692.5,119520.0,0,93905,
VEV_5100,1,5,821491.0,86318.5,0,93905,
VEV_5200,-1,0,956079.0,187641.5,0,93906,
VEV_5200,-1,0.25,956960.0,188522.5,0,93909,
VEV_5200,-1,0.5,959243.0,190805.5,0,93908,
VEV_5200,-1,0.625,961612.5,193175.0,0,93910,
VEV_5200,-1,0.75,963001.0,194563.5,0,93909,
VEV_5200,-1,0.875,963760.0,195322.5,0,93910,
VEV_5200,-1,1,963815.0,195377.5,0,93906,
VEV_5200,-1,1.125,956178.5,187741.0,0,93910,
VEV_5200,-1,1.25,955247.5,186810.0,0,93909,
VEV_5200,-1,1.5,953737.5,185300.0,0,93908,
VEV_5200,-1,1.75,947401.0,178963.5,0,93909,
VEV_5200,-1,2,943982.0,175544.5,0,93906,
VEV_5200,-1,2.25,916854.5,148417.0,0,93909,
VEV_5200,-1,2.5,914784.5,146347.0,0,93908,
VEV_5200,-1,3,909344.5,140907.0,0,93906,
VEV_5200,-1,4,867700.0,99262.5,0,93906,
VEV_5200,-1,5,840257.5,71820.0,0,93906,
VEV_5200,1,0,958979.0,190541.5,0,93905,
VEV_5200,1,0.25,960497.5,192060.0,0,93908,
VEV_5200,1,0.5,961446.5,193009.0,0,93907,
VEV_5200,1,0.625,963256.0,194818.5,0,93909,
VEV_5200,1,0.75,963001.0,194563.5,0,93908,
VEV_5200,1,0.875,962016.5,193579.0,0,93909,
VEV_5200,1,1,962016.5,193579.0,0,93905,
VEV_5200,1,1.125,948487.5,180050.0,0,93909,
VEV_5200,1,1.25,948681.0,180243.5,0,93908,
VEV_5200,1,1.5,946204.5,177767.0,0,93907,
VEV_5200,1,1.75,941982.0,173544.5,0,93908,
VEV_5200,1,2,941432.5,172995.0,0,93905,
VEV_5200,1,2.25,910764.0,142326.5,0,93908,
VEV_5200,1,2.5,906321.0,137883.5,0,93907,
VEV_5200,1,3,893080.0,124642.5,0,93905,
VEV_5200,1,4,856623.0,88185.5,0,93905,
VEV_5200,1,5,827191.0,58753.5,0,93905,
VEV_5300,-1,0,963001.0,72697.0,0,93906,
VEV_5300,-1,0.25,963585.0,73281.0,0,93909,
VEV_5300,-1,0.5,961840.0,71536.0,0,93908,
VEV_5300,-1,0.625,959488.0,69184.0,0,93910,
VEV_5300,-1,0.75,958192.0,67888.0,0,93909,
VEV_5300,-1,0.875,955887.0,65583.0,0,93910,
VEV_5300,-1,1,955665.0,65361.0,0,93906,
VEV_5300,-1,1.125,940375.0,50071.0,0,93910,
VEV_5300,-1,1.25,940101.0,49797.0,0,93909,
VEV_5300,-1,1.5,936907.0,46603.0,0,93908,
VEV_5300,-1,1.75,933004.0,42700.0,0,93909,
VEV_5300,-1,2,932435.0,42131.0,0,93906,
VEV_5300,-1,2.25,915707.0,25403.0,0,93909,
VEV_5300,-1,2.5,915475.0,25171.0,0,93908,
VEV_5300,-1,3,915301.0,24997.0,0,93906,
VEV_5300,-1,4,901586.0,11282.0,0,93906,
