product,category,family,name,params,day_2,day_3,day_4,total_pnl,mean_pnl,day_stdev,positive_days,max_drawdown,turnover,edge,avg_spread,active_ticks,param_fragility,score
UV_VISOR_MAGENTA,visor,participant_flow,UV_VISOR_MAGENTA:flow_0.99,"{""threshold"": 7.0458, ""decay"": 0.99, ""mult"": 0.5}",-2892.0,-4384.5,-2994.0,-10270.5,-3423.5,680.8043037466788,0,4793.5,1040.0,8.171808090242752,14.0916,869,0.0,-4843.442797435341
OXYGEN_SHAKE_CHOCOLATE,oxygen,basket_residual,OXYGEN_SHAKE_CHOCOLATE:ridge_oxygen,"{""threshold"": 566.8501645415237, ""mult"": 1.4, ""resid_std"": 404.893}",3286.0,-2314.5,-3913.5,-2942.0,-980.6666666666666,3086.8034796893407,1,7992.0,1320.0,752.7283963203404,12.185466666666667,4506,485.0,-4851.748928464738
TRANSLATOR_GRAPHITE_MIST,translator,crossing_high_edge,TRANSLATOR_GRAPHITE_MIST:static_fair,"{""threshold"": 5.34726, ""fair"": 10084.64, ""mult"": 0.6}",-3897.0,-987.5,10956.5,6072.0,2024.0,6426.946644143443,1,11554.0,5230.0,371.9071439424621,8.9121,29681,587.5,-4852.205318693239
UV_VISOR_MAGENTA,visor,crossing_high_edge,UV_VISOR_MAGENTA:static_fair,"{""threshold"": 19.72824, ""fair"": 11111.793, ""mult"": 1.4}",9385.5,-2164.5,-657.0,6564.0,2188.0,5126.47661654669,1,12497.5,3890.0,513.121410927171,14.0916,29136,2337.0,-4882.229800755349
PEBBLES_M,pebbles,participant_flow,PEBBLES_M:flow_0.97,"{""threshold"": 6.56045, ""decay"": 0.97, ""mult"": 0.5}",-5241.0,-1927.0,-199.0,-7367.0,-2455.6666666666665,2092.0575730339947,0,5241.0,1060.0,7.799074324627869,13.1209,363,0.0,-4882.784089138763
PEBBLES_L,pebbles,crossing_high_edge,PEBBLES_L:static_fair,"{""threshold"": 4.557175, ""fair"": 10174.111, ""mult"": 0.35}",5213.0,-2114.0,-1725.5,1373.5,457.8333333333333,3366.149192904095,1,15220.0,6670.0,501.1196627990168,13.0205,29745,0.0,-4894.223642054329
GALAXY_SOUNDS_DARK_MATTER,galaxy,basket_residual,GALAXY_SOUNDS_DARK_MATTER:ridge_galaxy,"{""threshold"": 178.22093654796942, ""mult"": 0.6, ""resid_std"": 297.035}",-3828.0,-3114.0,815.5,-6126.5,-2042.1666666666667,2041.5913863672351,1,7411.0,5640.0,361.7340028797205,13.050833333333333,16793,0.0,-4952.92106780537
PEBBLES_L,pebbles,crossing_high_edge,PEBBLES_L:static_fair,"{""threshold"": 23.4369, ""fair"": 10174.111, ""mult"": 1.8}",8460.5,-890.0,-1729.5,5841.0,1947.0,4618.473900182469,1,15128.0,5990.0,514.9891142809141,13.0205,28709,1564.5,-4970.678035118605
UV_VISOR_RED,visor,basket_residual,UV_VISOR_RED:ridge_visor,"{""threshold"": 337.3036830984475, ""mult"": 1.0, ""resid_std"": 337.304}",-1035.0,-314.5,-4149.0,-5498.5,-1832.8333333333333,1663.9813867815817,0,9878.5,4630.0,543.6850678393938,14.039433333333333,8223,0.0,-4973.461234741361
GALAXY_SOUNDS_SOLAR_WINDS,galaxy,crossing_high_edge,GALAXY_SOUNDS_SOLAR_WINDS:static_fair,"{""threshold"": 4.655443333333333, ""fair"": 10437.544, ""mult"": 0.35}",-4394.0,4960.0,860.5,1426.5,475.5,3828.4459640956147,2,11951.0,2950.0,457.1399450515649,13.301266666666667,29833,1154.0,-5033.28987666215
PEBBLES_S,pebbles,crossing_high_edge,PEBBLES_S:static_fair,"{""threshold"": 6.9309199999999995, ""fair"": 8932.357, ""mult"": 0.6}",10108.5,11056.5,-7102.0,14063.0,4687.666666666667,8345.531981578859,2,21245.0,3930.0,672.3390491140492,11.551533333333333,29784,0.0,-5056.669121359591
PEBBLES_XS,pebbles,participant_flow,PEBBLES_XS:flow_0.99,"{""threshold"": 4.872433333333333, ""decay"": 0.99, ""mult"": 0.5}",-660.0,-2682.0,-4048.0,-7390.0,-2463.3333333333335,1391.760835137353,0,8181.5,3530.0,6.812193007786722,9.744866666666667,5044,0.0,-5067.817876172613
PEBBLES_M,pebbles,crossing_high_edge,PEBBLES_M:static_fair,"{""threshold"": 7.87254, ""fair"": 10263.243, ""mult"": 0.6}",-7948.0,9994.5,5902.5,7949.0,2649.6666666666665,7677.630714542664,2,13325.0,4130.0,577.6744728198654,13.1209,29739,0.0,-5080.133297786066
TRANSLATOR_GRAPHITE_MIST,translator,crossing_high_edge,TRANSLATOR_GRAPHITE_MIST:static_fair,"{""threshold"": 8.9121, ""fair"": 10084.64, ""mult"": 1.0}",-4289.5,-479.5,11345.5,6576.5,2192.1666666666665,6656.658738102439,1,11554.0,5070.0,374.84274459254453,8.9121,29464,1092.0,-5082.721513099919
PANEL_2X4,panel,participant_flow,PANEL_2X4:flow_0.97,"{""threshold"": 4.92025, ""decay"": 0.97, ""mult"": 0.5}",-3465.0,-1824.5,-4722.0,-10011.5,-3337.1666666666665,1186.348061161741,0,4767.0,1580.0,5.759980338096836,9.8405,495,0.0,-5090.132906421798
PEBBLES_M,pebbles,crossing_high_edge,PEBBLES_M:static_fair,"{""threshold"": 18.36926, ""fair"": 10263.243, ""mult"": 1.4}",-7300.5,10429.0,6712.5,9841.0,3280.3333333333335,7634.07355581249,2,13235.0,4330.0,584.7078802673584,13.1209,29379,1407.0,-5110.254477944784
PEBBLES_S,pebbles,crossing_high_edge,PEBBLES_S:static_fair,"{""threshold"": 11.551533333333333, ""fair"": 8932.357, ""mult"": 1.0}",10525.0,11396.5,-7403.5,14518.0,4839.333333333333,8664.298551463291,2,21245.0,3870.0,674.4646355275468,11.551533333333333,29632,0.0,-5111.120725117807
