day,a,b,spread_mean,spread_std,adf_t,half_life,z_reversion_corr_20,return_corr
2,PEBBLES_XS,PEBBLES_S,-461.0735,426.38990307903634,-2.3986553828720654,574.9205078880086,0.10405053147367602,-0.01047327644415416
3,PEBBLES_XS,PEBBLES_S,-2229.10695,721.7764479994463,-1.903014905283016,1220.3430347971105,0.08310202425412067,-0.01708735563708202
4,PEBBLES_XS,PEBBLES_S,-1892.97045,367.9421792235806,-2.8854300676413067,420.60572582350403,0.13082485785647355,0.00813908435406841
2,PEBBLES_XS,PEBBLES_M,-558.0406,621.6070567501948,-1.7741573991652524,1136.0102800110685,0.07810073042147907,0.004305062424005028
3,PEBBLES_XS,PEBBLES_M,-3202.08255,1385.2268629580128,-1.4539543748759627,3119.028984509284,0.06549436866123035,0.013570721677314677
4,PEBBLES_XS,PEBBLES_M,-4815.6871,573.1529409708983,-1.9785055029846939,955.7650017715455,0.08789156126498167,0.025987409937989522
2,PEBBLES_XS,PEBBLES_L,-673.40445,606.7786490106565,-1.194396368169783,1651.545381556098,0.055870223000497245,0.004188463236152577
3,PEBBLES_XS,PEBBLES_L,-3233.04345,909.8102028923931,-1.291070716368182,2305.4750047540633,0.05529005560189836,0.01191599084492377
4,PEBBLES_XS,PEBBLES_L,-4401.96455,670.332654857495,-0.9897824991337951,2219.7202692881738,0.040032304074091196,-0.0013149607721079828
2,PEBBLES_XS,PEBBLES_XL,-2360.36095,1999.0435715336714,-0.6829234677961645,5067.482752572494,0.031796036590365576,-0.4947723070516987
3,PEBBLES_XS,PEBBLES_XL,-6493.6863,928.8661798893907,-2.04719303447519,787.178246173659,0.09496011383631077,-0.49449418408378465
4,PEBBLES_XS,PEBBLES_XL,-8608.8014,1870.4267042731292,-1.7142133604871126,1891.4522598500573,0.07406559303977417,-0.5026778207066421
2,PEBBLES_S,PEBBLES_M,-96.9671,501.3882865281059,-2.086858918163979,787.136149235868,0.09156461599110267,0.011596347649152091
3,PEBBLES_S,PEBBLES_M,-972.9756,843.5885584540843,-1.2551155999335255,2204.0261074277637,0.05642391111019986,0.02574107927086494
4,PEBBLES_S,PEBBLES_M,-2922.71665,686.9628255864924,-1.772883309786985,1262.987292763513,0.08085652757772052,0.00012511190731121603
2,PEBBLES_S,PEBBLES_L,-212.33095,600.7550540753673,-1.559970817968009,1267.1788834339136,0.07030560683290525,0.014427938675651265
3,PEBBLES_S,PEBBLES_L,-1003.9365,563.1179706489129,-1.4596455517319178,1244.7127351049614,0.06361894989793722,-0.006745132819067273
4,PEBBLES_S,PEBBLES_L,-2508.9941,517.610195190541,-1.172916695627314,1457.7059117254357,0.058324477645399136,0.012520602016935634
2,PEBBLES_S,PEBBLES_XL,-1899.28745,1799.3939737304606,-0.8835461005055101,3537.2927035935168,0.03984337477594352,-0.49662641188946005
3,PEBBLES_S,PEBBLES_XL,-4264.57935,726.0582962673021,-2.5324939573030836,496.0548078668275,0.11750843689748977,-0.4953302064711162
4,PEBBLES_S,PEBBLES_XL,-6715.83095,1896.2984611202683,-1.8305997432853558,1800.6936618943769,0.07903644540912667,-0.4950091663535863
2,PEBBLES_M,PEBBLES_L,-115.36385,462.3587304119795,-1.8221987613878579,827.7944530161859,0.07955055603476298,0.007328873709547208
3,PEBBLES_M,PEBBLES_L,-30.9609,757.869703294168,-1.7655609574072366,1396.0887117050916,0.07801086480302555,0.004627951310615359
4,PEBBLES_M,PEBBLES_L,413.72255,877.4916652290764,-0.870710745698405,3314.6304826779333,0.033889752834808586,0.020444829442852818
2,PEBBLES_M,PEBBLES_XL,-1802.32035,1645.4258176687508,-0.8456736933951063,3362.7013773162885,0.03983780915429517,-0.5042247771247601
3,PEBBLES_M,PEBBLES_XL,-3291.60375,1153.9518075773085,-1.3733315358898603,1447.292709806226,0.06829171705250996,-0.5144265508331622
4,PEBBLES_M,PEBBLES_XL,-3793.1143,1461.0099370420141,-1.8376345391434163,1367.190562200098,0.0817393410147138,-0.5158406968957239
2,PEBBLES_L,PEBBLES_XL,-1686.9565,1829.0216522933101,-1.0455488963114834,3030.010920252266,0.04690002164489084,-0.5030032989927217
3,PEBBLES_L,PEBBLES_XL,-3260.64285,970.7354557596408,-1.439877100166831,1167.6963780526166,0.06613156267439393,-0.49516333915553135
4,PEBBLES_L,PEBBLES_XL,-4206.83685,2099.99574217594,-1.10375239260011,3298.357158371402,0.048074530745112753,-0.5018539562662355
