product,thr,total,product_total,rc
VEV_5300,2.5,874798.0,28031.0,0
VEV_5300,3,873330.0,26563.0,0
VEV_5300,4,857324.0,10557.0,0
VEV_5300,5,851668.0,4901.0,0
VEV_5400,0,918571.5,9915.5,0
VEV_5400,0.25,918458.5,9802.5,0
VEV_5400,0.5,917637.0,8981.0,0
VEV_5400,0.625,917131.5,8475.5,0
VEV_5400,0.75,916667.0,8011.0,0
VEV_5400,0.875,916350.0,7694.0,0
VEV_5400,1,916350.0,7694.0,0
VEV_5400,1.125,910760.0,2104.0,0
VEV_5400,1.25,910760.0,2104.0,0
VEV_5400,1.5,910296.0,1640.0,0
VEV_5400,2,910141.0,1485.0,0
VEV_5400,2.5,909015.0,359.0,0
VEV_5400,3,909015.0,359.0,0
VEV_5400,4,908656.0,0.0,0
VEV_5400,5,908656.0,0.0,0
VEV_5500,0,916694.0,202.0,0
VEV_5500,0.25,916694.0,202.0,0
VEV_5500,0.5,916694.0,202.0,0
VEV_5500,0.625,916667.0,175.0,0
VEV_5500,0.75,916667.0,175.0,0
VEV_5500,0.875,916667.0,175.0,0
VEV_5500,1,916667.0,175.0,0
VEV_5500,1.125,916532.0,40.0,0
VEV_5500,1.25,916532.0,40.0,0
VEV_5500,1.5,916532.0,40.0,0
VEV_5500,2,916532.0,40.0,0
VEV_5500,2.5,916492.0,0.0,0
VEV_5500,3,916492.0,0.0,0
VEV_5500,4,916492.0,0.0,0
VEV_5500,5,916492.0,0.0,0
