product,thr,horizon,total,product_total,rc
VELVETFRUIT_EXTRACT,2.25,45,947260.5,269627.5,0
VELVETFRUIT_EXTRACT,2.3,35,895891.5,218258.5,0
VELVETFRUIT_EXTRACT,2.3,38,925142.5,247509.5,0
VELVETFRUIT_EXTRACT,2.3,40,955658.5,278025.5,0
VELVETFRUIT_EXTRACT,2.3,42,951460.5,273827.5,0
VELVETFRUIT_EXTRACT,2.3,45,947121.5,269488.5,0
VELVETFRUIT_EXTRACT,2.4,35,897550.5,219917.5,0
VELVETFRUIT_EXTRACT,2.4,38,927385.5,249752.5,0
VELVETFRUIT_EXTRACT,2.4,40,956860.5,279227.5,0
VELVETFRUIT_EXTRACT,2.4,42,951669.5,274036.5,0
VELVETFRUIT_EXTRACT,2.4,45,948170.5,270537.5,0
VELVETFRUIT_EXTRACT,2.5,35,897550.5,219917.5,0
VELVETFRUIT_EXTRACT,2.5,38,927385.5,249752.5,0
VELVETFRUIT_EXTRACT,2.5,40,956860.5,279227.5,0
VELVETFRUIT_EXTRACT,2.5,42,951669.5,274036.5,0
VELVETFRUIT_EXTRACT,2.5,45,948170.5,270537.5,0
VEV_5000,0.75,40,955263.0,128033.5,0
VEV_5000,0.75,42,951878.5,124649.0,0
VEV_5000,0.75,44,950058.5,122829.0,0
VEV_5000,0.75,45,960557.5,133328.0,0
VEV_5000,0.75,46,953527.0,126297.5,0
VEV_5000,0.75,48,953079.0,125849.5,0
VEV_5000,0.75,50,946390.5,119161.0,0
VEV_5000,0.75,55,947870.0,120640.5,0
VEV_5000,0.75,60,954347.0,127117.5,0
VEV_5000,0.875,40,955741.0,128511.5,0
VEV_5000,0.875,42,951943.5,124714.0,0
VEV_5000,0.875,44,950791.0,123561.5,0
VEV_5000,0.875,45,961344.0,134114.5,0
VEV_5000,0.875,46,954066.0,126836.5,0
VEV_5000,0.875,48,952426.5,125197.0,0
VEV_5000,0.875,50,946194.5,118965.0,0
VEV_5000,0.875,55,948914.0,121684.5,0
VEV_5000,0.875,60,955208.0,127978.5,0
VEV_5000,1,40,955741.0,128511.5,0
VEV_5000,1,42,951943.5,124714.0,0
VEV_5000,1,44,950791.0,123561.5,0
VEV_5000,1,45,961344.0,134114.5,0
VEV_5000,1,46,954066.0,126836.5,0
VEV_5000,1,48,952426.5,125197.0,0
VEV_5000,1,50,946194.5,118965.0,0
VEV_5000,1,55,948914.0,121684.5,0
VEV_5000,1,60,955208.0,127978.5,0
VEV_5000,1.05,40,938767.0,111537.5,0
VEV_5000,1.05,42,937325.0,110095.5,0
VEV_5000,1.05,44,935809.0,108579.5,0
VEV_5000,1.05,45,946212.0,118982.5,0
VEV_5000,1.05,46,940235.0,113005.5,0
VEV_5000,1.05,48,938189.5,110960.0,0
VEV_5000,1.05,50,933649.0,106419.5,0
VEV_5000,1.05,55,939148.0,111918.5,0
VEV_5000,1.05,60,937682.5,110453.0,0
VEV_5000,1.1,40,938767.0,111537.5,0
VEV_5000,1.1,42,937325.0,110095.5,0
VEV_5000,1.1,44,935809.0,108579.5,0
VEV_5000,1.1,45,946212.0,118982.5,0
VEV_5000,1.1,46,940235.0,113005.5,0
VEV_5000,1.1,48,938189.5,110960.0,0
VEV_5000,1.1,50,933649.0,106419.5,0
VEV_5000,1.1,55,939148.0,111918.5,0
VEV_5000,1.1,60,937682.5,110453.0,0
VEV_5000,1.125,40,938767.0,111537.5,0
VEV_5000,1.125,42,937325.0,110095.5,0
VEV_5000,1.125,44,935809.0,108579.5,0
VEV_5000,1.125,45,946212.0,118982.5,0
VEV_5000,1.125,46,940235.0,113005.5,0
VEV_5000,1.125,48,938189.5,110960.0,0
VEV_5000,1.125,50,933649.0,106419.5,0
VEV_5000,1.125,55,939148.0,111918.5,0
VEV_5000,1.125,60,937682.5,110453.0,0
VEV_5200,0.625,40,959544.0,192763.5,0
VEV_5200,0.625,50,956626.5,189846.0,0
VEV_5200,0.625,55,951313.0,184532.5,0
VEV_5200,0.625,60,959925.5,193145.0,0
VEV_5200,0.625,65,955523.0,188742.5,0
VEV_5200,0.625,70,957767.0,190986.5,0
VEV_5200,0.75,40,960130.5,193350.0,0
VEV_5200,0.75,50,956130.5,189350.0,0
VEV_5200,0.75,55,950482.0,183701.5,0
VEV_5200,0.75,60,961344.0,194563.5,0
VEV_5200,0.75,65,954837.5,188057.0,0
VEV_5200,0.75,70,959603.0,192822.5,0
VEV_5200,0.875,40,958154.5,191374.0,0
VEV_5200,0.875,50,956084.0,189303.5,0
VEV_5200,0.875,55,948445.5,181665.0,0
VEV_5200,0.875,60,961294.5,194514.0,0
VEV_5200,0.875,65,954249.5,187469.0,0
VEV_5200,0.875,70,955838.5,189058.0,0
VEV_5200,1,40,957703.0,190922.5,0
VEV_5200,1,50,956146.0,189365.5,0
VEV_5200,1,55,949542.5,182762.0,0
VEV_5200,1,60,961142.0,194361.5,0
VEV_5200,1,65,954373.5,187593.0,0
VEV_5200,1,70,956157.5,189377.0,0
VEV_5400,0,40,960834.0,9915.5,0
VEV_5400,0,50,960666.5,9748.0,0
VEV_5400,0,55,960911.0,9992.5,0
VEV_5400,0,60,961344.0,10425.5,0
VEV_5400,0,65,961188.0,10269.5,0
VEV_5400,0,70,960593.5,9675.0,0
VEV_5400,0,80,959295.5,8377.0,0
VEV_5400,0.25,40,960721.0,9802.5,0
VEV_5400,0.25,50,960523.0,9604.5,0
VEV_5400,0.25,55,960865.0,9946.5,0
VEV_5400,0.25,60,961014.0,10095.5,0
VEV_5400,0.25,65,960780.0,9861.5,0
VEV_5400,0.25,70,960171.0,9252.5,0
VEV_5400,0.25,80,959105.5,8187.0,0
VEV_5400,0.5,40,959899.5,8981.0,0
VEV_5400,0.5,50,959991.0,9072.5,0
VEV_5400,0.5,55,959885.0,8966.5,0
VEV_5400,0.5,60,959970.0,9051.5,0
VEV_5400,0.5,65,959752.0,8833.5,0
VEV_5400,0.5,70,959300.0,8381.5,0
VEV_5400,0.5,80,958621.5,7703.0,0
VEV_5400,0.75,40,958929.5,8011.0,0
VEV_5400,0.75,50,958722.5,7804.0,0
VEV_5400,0.75,55,959063.5,8145.0,0
VEV_5400,0.75,60,958916.0,7997.5,0
VEV_5400,0.75,65,958555.5,7637.0,0
VEV_5400,0.75,70,958427.0,7508.5,0
VEV_5400,0.75,80,957784.0,6865.5,0
