variant_id,final_pnl_total,day_0_pnl,day_1_pnl,day_2_pnl,mean_day_pnl,std_day_pnl,min_day_pnl,positive_days,stability_score,own_trade_count,traded_qty,rv_alpha,rv_weight,forecast_rho,min_vol_edge,min_price_edge,cost_buffer,exit_vol_edge,vega_clip_scale,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip,gamma_hedge_sensitivity,gamma_hedge_min_threshold
gamma_a0p015_w0p55_rho0_e0p035_pe0_c0p01_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,1426.5,-1081.0,1438.5,1069.0,475.5,1110.9010607010268,-1081.0,2,0.4280309172623445,311,0,0.015,0.55,0.0,0.035,0.0,0.01,0.005,0.0,1.0,8,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0_e0p035_pe0_c0p01_vs0_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,1426.5,-1081.0,1438.5,1069.0,475.5,1110.9010607010268,-1081.0,2,0.4280309172623445,311,0,0.015,0.55,0.0,0.035,0.0,0.01,0.005,0.0,1.25,8,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0_e0p035_pe1_c0p01_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,1426.5,-1081.0,1438.5,1069.0,475.5,1110.9010607010268,-1081.0,2,0.4280309172623445,311,0,0.015,0.55,0.0,0.035,1.0,0.01,0.005,0.0,1.0,8,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0_e0p035_pe1_c0p01_vs0_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,1426.5,-1081.0,1438.5,1069.0,475.5,1110.9010607010268,-1081.0,2,0.4280309172623445,311,0,0.015,0.55,0.0,0.035,1.0,0.01,0.005,0.0,1.25,8,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0_e0p055_pe0_c0p02_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,1394.5,-1115.0,1268.0,1241.5,464.8333333333333,1117.1632477942615,-1115.0,2,0.416083624529082,573,0,0.015,0.95,0.0,0.055,0.0,0.02,0.005,0.0,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0_e0p055_pe0_c0p02_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,1394.5,-1115.0,1268.0,1241.5,464.8333333333333,1117.1632477942615,-1115.0,2,0.416083624529082,573,0,0.015,0.95,0.0,0.055,0.0,0.02,0.005,0.0,1.25,4,120,20,300,60,0.0,8
