variant_id,final_pnl_total,day_0_pnl,day_1_pnl,day_2_pnl,mean_day_pnl,std_day_pnl,min_day_pnl,positive_days,stability_score,own_trade_count,traded_qty,rv_alpha,rv_weight,forecast_rho,min_vol_edge,min_price_edge,cost_buffer,exit_vol_edge,vega_clip_scale,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip,gamma_hedge_sensitivity,gamma_hedge_min_threshold
gamma_a0p015_w0p95_rho0p2_e0p055_pe1_c0p02_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2232.5,-1178.0,1809.0,1601.5,744.1666666666666,1361.8143738736528,-1178.0,2,0.5464523513210934,573,2742,0.015,0.95,0.2,0.055,1.0,0.02,0.005,0.0,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0p2_e0p055_pe0_c0p02_vs0p1_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2949.0,-1188.0,2373.5,1763.5,983.0,1555.1968256997784,-1188.0,2,0.632074335386491,977,2725,0.015,0.95,0.2,0.055,0.0,0.02,0.005,0.1,1.0,8,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0p2_e0p055_pe0_c0p02_vs0p1_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2949.0,-1188.0,2373.5,1763.5,983.0,1555.1968256997784,-1188.0,2,0.632074335386491,977,2725,0.015,0.95,0.2,0.055,0.0,0.02,0.005,0.1,1.25,8,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0p2_e0p055_pe1_c0p02_vs0p1_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2949.0,-1188.0,2373.5,1763.5,983.0,1555.1968256997784,-1188.0,2,0.632074335386491,977,2725,0.015,0.95,0.2,0.055,1.0,0.02,0.005,0.1,1.0,8,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0p2_e0p055_pe1_c0p02_vs0p1_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2949.0,-1188.0,2373.5,1763.5,983.0,1555.1968256997784,-1188.0,2,0.632074335386491,977,2725,0.015,0.95,0.2,0.055,1.0,0.02,0.005,0.1,1.25,8,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0p2_e0p055_pe0_c0p02_vs0p1_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2789.5,-1188.0,2373.5,1604.0,929.8333333333334,1530.1298601389651,-1188.0,2,0.6076826271779828,1012,2732,0.015,0.95,0.2,0.055,0.0,0.02,0.005,0.1,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0p2_e0p055_pe0_c0p02_vs0p1_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2789.5,-1188.0,2373.5,1604.0,929.8333333333334,1530.1298601389651,-1188.0,2,0.6076826271779828,1012,2732,0.015,0.95,0.2,0.055,0.0,0.02,0.005,0.1,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0p2_e0p055_pe1_c0p02_vs0p1_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2789.5,-1188.0,2373.5,1604.0,929.8333333333334,1530.1298601389651,-1188.0,2,0.6076826271779828,1012,2732,0.015,0.95,0.2,0.055,1.0,0.02,0.005,0.1,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p95_rho0p2_e0p055_pe1_c0p02_vs0p1_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2789.5,-1188.0,2373.5,1604.0,929.8333333333334,1530.1298601389651,-1188.0,2,0.6076826271779828,1012,2732,0.015,0.95,0.2,0.055,1.0,0.02,0.005,0.1,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0p2_e0p035_pe0_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh3_gm8,2452.5,-1188.0,2191.5,1449.0,817.5,1450.1377520773674,-1188.0,2,0.5637395473832345,588,2753,0.015,0.55,0.2,0.035,0.0,0.01,0.005,0.0,1.0,4,120,20,300,60,3.0,8
gamma_a0p015_w0p55_rho0p2_e0p035_pe0_c0p01_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh3_gm8,2452.5,-1188.0,2191.5,1449.0,817.5,1450.1377520773674,-1188.0,2,0.5637395473832345,588,2753,0.015,0.55,0.2,0.035,0.0,0.01,0.005,0.0,1.25,4,120,20,300,60,3.0,8
gamma_a0p015_w0p55_rho0p2_e0p035_pe1_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh3_gm8,2452.5,-1188.0,2191.5,1449.0,817.5,1450.1377520773674,-1188.0,2,0.5637395473832345,588,2753,0.015,0.55,0.2,0.035,1.0,0.01,0.005,0.0,1.0,4,120,20,300,60,3.0,8
gamma_a0p015_w0p55_rho0p2_e0p035_pe1_c0p01_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh3_gm8,2452.5,-1188.0,2191.5,1449.0,817.5,1450.1377520773674,-1188.0,2,0.5637395473832345,588,2753,0.015,0.55,0.2,0.035,1.0,0.01,0.005,0.0,1.25,4,120,20,300,60,3.0,8
gamma_a0p015_w0p55_rho0p2_e0p035_pe0_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2994.5,-1238.0,2631.0,1601.5,998.1666666666666,1636.1129918872418,-1238.0,2,0.6100841883265533,574,2730,0.015,0.55,0.2,0.035,0.0,0.01,0.005,0.0,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0p2_e0p035_pe0_c0p01_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2994.5,-1238.0,2631.0,1601.5,998.1666666666666,1636.1129918872418,-1238.0,2,0.6100841883265533,574,2730,0.015,0.55,0.2,0.035,0.0,0.01,0.005,0.0,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0p2_e0p035_pe1_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2994.5,-1238.0,2631.0,1601.5,998.1666666666666,1636.1129918872418,-1238.0,2,0.6100841883265533,574,2730,0.015,0.55,0.2,0.035,1.0,0.01,0.005,0.0,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p55_rho0p2_e0p035_pe1_c0p01_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,2994.5,-1238.0,2631.0,1601.5,998.1666666666666,1636.1129918872418,-1238.0,2,0.6100841883265533,574,2730,0.015,0.55,0.2,0.035,1.0,0.01,0.005,0.0,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p7_rho0_e0p035_pe0_c0p02_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2052.0,-1239.0,1862.0,1429.0,684.0,1371.208469440977,-1239.0,2,0.49883005775070705,306,2736,0.015,0.7,0.0,0.035,0.0,0.02,0.005,0.0,1.0,8,120,20,300,60,0.0,8
gamma_a0p015_w0p7_rho0_e0p035_pe0_c0p02_vs0_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2052.0,-1239.0,1862.0,1429.0,684.0,1371.208469440977,-1239.0,2,0.49883005775070705,306,2736,0.015,0.7,0.0,0.035,0.0,0.02,0.005,0.0,1.25,8,120,20,300,60,0.0,8
gamma_a0p015_w0p7_rho0_e0p035_pe1_c0p02_vs0_m1_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2052.0,-1239.0,1862.0,1429.0,684.0,1371.208469440977,-1239.0,2,0.49883005775070705,306,2736,0.015,0.7,0.0,0.035,1.0,0.02,0.005,0.0,1.0,8,120,20,300,60,0.0,8
gamma_a0p015_w0p7_rho0_e0p035_pe1_c0p02_vs0_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,2052.0,-1239.0,1862.0,1429.0,684.0,1371.208469440977,-1239.0,2,0.49883005775070705,306,2736,0.015,0.7,0.0,0.035,1.0,0.02,0.005,0.0,1.25,8,120,20,300,60,0.0,8
gamma_a0p015_w0p7_rho0_e0p055_pe0_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,3008.5,-1247.0,2654.0,1601.5,1002.8333333333334,1647.8777429031425,-1247.0,2,0.6085605183100459,577,2735,0.015,0.7,0.0,0.055,0.0,0.01,0.005,0.0,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p7_rho0_e0p055_pe0_c0p01_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,3008.5,-1247.0,2654.0,1601.5,1002.8333333333334,1647.8777429031425,-1247.0,2,0.6085605183100459,577,2735,0.015,0.7,0.0,0.055,0.0,0.01,0.005,0.0,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p7_rho0_e0p055_pe1_c0p01_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,3008.5,-1247.0,2654.0,1601.5,1002.8333333333334,1647.8777429031425,-1247.0,2,0.6085605183100459,577,2735,0.015,0.7,0.0,0.055,1.0,0.01,0.005,0.0,1.0,4,120,20,300,60,0.0,8
gamma_a0p015_w0p7_rho0_e0p055_pe1_c0p01_vs0_m1p25_clip4_pos120_dh20_hi300_hc60_gh0_gm8,3008.5,-1247.0,2654.0,1601.5,1002.8333333333334,1647.8777429031425,-1247.0,2,0.6085605183100459,577,2735,0.015,0.7,0.0,0.055,1.0,0.01,0.005,0.0,1.25,4,120,20,300,60,0.0,8
gamma_a0p015_w0p85_rho0p2_e0p055_pe0_c0p02_vs0_m1_clip4_pos120_dh20_hi300_hc60_gh0_gm8,3098.5,-1252.0,2749.0,1601.5,1032.8333333333333,1682.1685574149683,-1252.0,2,0.6139892038642673,576,2725,0.015,0.85,0.2,0.055,0.0,0.02,0.005,0.0,1.0,4,120,20,300,60,0.0,8
