test_day,train_days,selected_variant_id,train_pnl,train_min_day_pnl,test_pnl,test_rank,test_variant_count,variant_id,rv_alpha,rv_weight,forecast_rho,min_vol_edge,min_price_edge,cost_buffer,exit_vol_edge,vega_clip_scale,moneyness_limit,max_option_clip,max_long_option_position,delta_hedge_threshold,hedge_interval_ticks,max_hedge_clip,gamma_hedge_sensitivity,gamma_hedge_min_threshold
0,"1,2",gamma_a0p015_w0p55_rho0_e0p035_pe1_c0p01_vs0p1_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,4561.0,2270.5,-2160.0,1053,1536,gamma_a0p015_w0p55_rho0_e0p035_pe1_c0p01_vs0p1_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,0.015,0.55,0.0,0.035,1.0,0.01,0.005,0.1,1.25,8,120,20,300,60,0.0,8
1,"0,2",gamma_a0p015_w0p55_rho0_e0p035_pe1_c0p01_vs0_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,348.0,-1081.0,1978.5,505,1536,gamma_a0p015_w0p55_rho0_e0p035_pe1_c0p01_vs0_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,0.015,0.55,0.0,0.035,1.0,0.01,0.005,0.0,1.25,8,120,20,300,60,0.0,8
2,"0,1",gamma_a0p015_w0p55_rho0_e0p035_pe1_c0p01_vs0_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,897.5,-1081.0,1429.0,1025,1536,gamma_a0p015_w0p55_rho0_e0p035_pe1_c0p01_vs0_m1p25_clip8_pos120_dh20_hi300_hc60_gh0_gm8,0.015,0.55,0.0,0.035,1.0,0.01,0.005,0.0,1.25,8,120,20,300,60,0.0,8
