split,product,feature_set,model,ic,sign_accuracy,n_trades_proxy,proxy_edge_sum
train_d2_test_d3d4,SLEEP_POD_COTTON,local_only,ridge_linear,0.007353375692272845,0.49524762381190596,100,-421.0
train_d2_test_d3d4,MICROCHIP_CIRCLE,no_orderbook,ridge_linear,-0.005514057648873296,0.483991995997999,3500,-16088.0
train_d2_test_d3d4,MICROCHIP_CIRCLE,no_zscore,ridge_linear,-0.0067981075165781035,0.48624312156078037,3464,-16004.5
train_d2_test_d3d4,MICROCHIP_CIRCLE,no_category,ridge_linear,-0.006739459553343449,0.4954977488744372,418,-2206.5
train_d2_test_d3d4,MICROCHIP_CIRCLE,local_only,ridge_linear,0.0008415497405151763,0.4984992496248124,222,-1405.5
train_d2_test_d3d4,MICROCHIP_OVAL,no_orderbook,ridge_linear,0.01796883673123582,0.48624312156078037,3122,-12192.0
train_d2_test_d3d4,MICROCHIP_OVAL,no_zscore,ridge_linear,0.01695785416466131,0.4847423711855928,2955,-10913.5
train_d2_test_d3d4,MICROCHIP_OVAL,no_category,ridge_linear,0.014114574412348034,0.4977488744372186,1598,-5011.0
train_d2_test_d3d4,MICROCHIP_OVAL,local_only,ridge_linear,0.007963764679382358,0.48699349674837417,1599,-5172.0
train_d2_test_d3d4,MICROCHIP_SQUARE,no_orderbook,ridge_linear,0.015550695152430646,0.5130065032516258,977,-4317.0
train_d2_test_d3d4,MICROCHIP_SQUARE,no_zscore,ridge_linear,0.017118671306189007,0.5065032516258129,841,-4373.0
train_d2_test_d3d4,MICROCHIP_SQUARE,no_category,ridge_linear,0.02177039516487945,0.49824912456228115,383,-1625.5
train_d2_test_d3d4,MICROCHIP_SQUARE,local_only,ridge_linear,0.01918129006960315,0.5055027513756879,129,-341.5
train_d2_test_d3d4,MICROCHIP_RECTANGLE,no_orderbook,ridge_linear,0.010899823114506277,0.4954977488744372,1611,-5502.0
train_d2_test_d3d4,MICROCHIP_RECTANGLE,no_zscore,ridge_linear,0.008222233400564235,0.49674837418709356,1757,-6102.5
train_d2_test_d3d4,MICROCHIP_RECTANGLE,no_category,ridge_linear,0.010288598983068336,0.4942471235617809,822,-2040.0
train_d2_test_d3d4,MICROCHIP_RECTANGLE,local_only,ridge_linear,0.0034413956444617347,0.5040020010005003,579,-2579.0
train_d2_test_d3d4,MICROCHIP_TRIANGLE,no_orderbook,ridge_linear,0.002256055508419308,0.49024512256128067,2188,-9494.0
train_d2_test_d3d4,MICROCHIP_TRIANGLE,no_zscore,ridge_linear,0.011375535626403841,0.4867433716858429,2297,-9156.5
train_d2_test_d3d4,MICROCHIP_TRIANGLE,no_category,ridge_linear,0.021064579221325833,0.5082541270635318,1151,-4492.5
train_d2_test_d3d4,MICROCHIP_TRIANGLE,local_only,ridge_linear,0.00021645327351469778,0.49949974987493745,438,-2280.0
train_d2_test_d3d4,PEBBLES_XS,no_orderbook,ridge_linear,0.031323883966027664,0.5095047523761881,1716,-4802.5
train_d2_test_d3d4,PEBBLES_XS,no_zscore,ridge_linear,0.036277170042120783,0.5147573786893447,1584,-4331.0
train_d2_test_d3d4,PEBBLES_XS,no_category,ridge_linear,0.017984651050596157,0.5147573786893447,1214,-4673.5
train_d2_test_d3d4,PEBBLES_XS,local_only,ridge_linear,0.020827631261449632,0.511255627813907,1232,-4254.0
train_d2_test_d3d4,PEBBLES_S,no_orderbook,ridge_linear,-0.0062233664360744866,0.4897448724362181,1416,-7821.0
train_d2_test_d3d4,PEBBLES_S,no_zscore,ridge_linear,0.001544872205206358,0.48924462231115556,1236,-6238.0
train_d2_test_d3d4,PEBBLES_S,no_category,ridge_linear,-0.03512049091065646,0.4817408704352176,659,-4799.0
train_d2_test_d3d4,PEBBLES_S,local_only,ridge_linear,-0.043406905472179305,0.48624312156078037,487,-3572.0
train_d2_test_d3d4,PEBBLES_M,no_orderbook,ridge_linear,-0.0003061731409633926,0.492496248124062,1288,-8857.0
train_d2_test_d3d4,PEBBLES_M,no_zscore,ridge_linear,-0.0017253047418583616,0.4927463731865933,1269,-9440.5
train_d2_test_d3d4,PEBBLES_M,no_category,ridge_linear,0.004860080177564282,0.5040020010005003,224,-1329.5
train_d2_test_d3d4,PEBBLES_M,local_only,ridge_linear,0.004280747341940454,0.5002501250625313,72,-197.0
train_d2_test_d3d4,PEBBLES_L,no_orderbook,ridge_linear,-0.00544097176259546,0.4852426213106553,634,-3372.0
train_d2_test_d3d4,PEBBLES_L,no_zscore,ridge_linear,0.014629386739193433,0.4867433716858429,507,-2327.5
train_d2_test_d3d4,PEBBLES_L,no_category,ridge_linear,0.010031887358426982,0.48099049524762383,223,348.5
train_d2_test_d3d4,PEBBLES_L,local_only,ridge_linear,-0.028022826657704655,0.47948974487243623,102,-646.5
train_d2_test_d3d4,PEBBLES_XL,no_orderbook,ridge_linear,0.009843259500979232,0.5,1000,-6922.0
train_d2_test_d3d4,PEBBLES_XL,no_zscore,ridge_linear,0.012140736383648716,0.5045022511255628,953,-8529.5
train_d2_test_d3d4,PEBBLES_XL,no_category,ridge_linear,0.0011806930126550513,0.4932466233116558,373,-2671.0
train_d2_test_d3d4,PEBBLES_XL,local_only,ridge_linear,-0.008317013814469029,0.48549274637318657,296,-1288.0
train_d2_test_d3d4,ROBOT_VACUUMING,no_orderbook,ridge_linear,0.020260881212655173,0.49074537268634316,1593,-4259.5
train_d2_test_d3d4,ROBOT_VACUUMING,no_zscore,ridge_linear,0.023190499931476267,0.4947473736868434,1658,-5066.5
train_d2_test_d3d4,ROBOT_VACUUMING,no_category,ridge_linear,0.007759672204874644,0.4954977488744372,1336,-4664.0
train_d2_test_d3d4,ROBOT_VACUUMING,local_only,ridge_linear,-0.001348363585500932,0.48849424712356176,678,-2267.5
train_d2_test_d3d4,ROBOT_MOPPING,no_orderbook,ridge_linear,0.009146394731227738,0.4947473736868434,1536,-5697.0
train_d2_test_d3d4,ROBOT_MOPPING,no_zscore,ridge_linear,0.005003027124441676,0.4909954977488744,1462,-5783.5
train_d2_test_d3d4,ROBOT_MOPPING,no_category,ridge_linear,0.01582705161933439,0.49374687343671836,213,-697.5
train_d2_test_d3d4,ROBOT_MOPPING,local_only,ridge_linear,0.003532911321614886,0.49674837418709356,135,-508.0
train_d2_test_d3d4,ROBOT_DISHES,no_orderbook,ridge_linear,0.055506324056039336,0.3321660830415208,1528,-1673.5
train_d2_test_d3d4,ROBOT_DISHES,no_zscore,ridge_linear,0.02019981671815205,0.32341170585292645,1180,-3034.0
train_d2_test_d3d4,ROBOT_DISHES,no_category,ridge_linear,0.06338484505114991,0.33016508254127064,1006,-504.0
train_d2_test_d3d4,ROBOT_DISHES,local_only,ridge_linear,0.07876419192265918,0.3334167083541771,700,447.5
train_d2_test_d3d4,ROBOT_LAUNDRY,no_orderbook,ridge_linear,0.0028742978064537046,0.49224612306153076,1718,-5411.0
train_d2_test_d3d4,ROBOT_LAUNDRY,no_zscore,ridge_linear,0.00738817707742668,0.48849424712356176,1758,-5811.5
train_d2_test_d3d4,ROBOT_LAUNDRY,no_category,ridge_linear,0.0030381870068515566,0.49449724862431216,1203,-3375.0
train_d2_test_d3d4,ROBOT_LAUNDRY,local_only,ridge_linear,0.003885191908963742,0.4919959979989995,843,-3104.5
train_d2_test_d3d4,ROBOT_IRONING,no_orderbook,ridge_linear,0.030204097303360752,0.416208104052026,1729,-3689.0
train_d2_test_d3d4,ROBOT_IRONING,no_zscore,ridge_linear,-0.0030480498381944185,0.408704352176088,2808,-8596.0
train_d2_test_d3d4,ROBOT_IRONING,no_category,ridge_linear,0.025338378455581893,0.4109554777388694,725,-1168.5
train_d2_test_d3d4,ROBOT_IRONING,local_only,ridge_linear,0.06482151632516203,0.42321160580290146,533,180.5
train_d2_test_d3d4,UV_VISOR_YELLOW,no_orderbook,ridge_linear,0.004913967630951163,0.4917458729364682,626,-3740.5
train_d2_test_d3d4,UV_VISOR_YELLOW,no_zscore,ridge_linear,0.012975906578295126,0.4957478739369685,774,-4632.5
train_d2_test_d3d4,UV_VISOR_YELLOW,no_category,ridge_linear,0.01727515844564243,0.49524762381190596,223,-881.5
train_d2_test_d3d4,UV_VISOR_YELLOW,local_only,ridge_linear,0.00405162440314036,0.49599799899949976,132,-1074.5
train_d2_test_d3d4,UV_VISOR_AMBER,no_orderbook,ridge_linear,-0.006733819413987722,0.4992496248124062,1217,-5712.0
train_d2_test_d3d4,UV_VISOR_AMBER,no_zscore,ridge_linear,0.0027704567035509806,0.48549274637318657,677,-3422.0
train_d2_test_d3d4,UV_VISOR_AMBER,no_category,ridge_linear,0.024589462674817777,0.48949474737368687,118,-91.0
train_d2_test_d3d4,UV_VISOR_AMBER,local_only,ridge_linear,0.005944934182747993,0.5025012506253127,211,-911.0
train_d2_test_d3d4,UV_VISOR_ORANGE,no_orderbook,ridge_linear,-0.004385668809099756,0.4992496248124062,436,-2991.0
train_d2_test_d3d4,UV_VISOR_ORANGE,no_zscore,ridge_linear,-0.006952440552241181,0.5005002501250625,490,-3583.5
train_d2_test_d3d4,UV_VISOR_ORANGE,no_category,ridge_linear,0.007025340578017343,0.5062531265632816,84,135.5
train_d2_test_d3d4,UV_VISOR_ORANGE,local_only,ridge_linear,0.0007670794745454857,0.5047523761880941,10,15.0
train_d2_test_d3d4,UV_VISOR_RED,no_orderbook,ridge_linear,0.018758326173003,0.5025012506253127,447,-2283.5
train_d2_test_d3d4,UV_VISOR_RED,no_zscore,ridge_linear,0.024839121634041506,0.5132566283141571,419,-2228.5
train_d2_test_d3d4,UV_VISOR_RED,no_category,ridge_linear,0.04212678405522579,0.49799899949974985,165,-149.0
train_d2_test_d3d4,UV_VISOR_RED,local_only,ridge_linear,0.02832139252324809,0.4964982491245623,14,-28.0
train_d2_test_d3d4,UV_VISOR_MAGENTA,no_orderbook,ridge_linear,0.016698451946568396,0.49824912456228115,283,-1337.0
train_d2_test_d3d4,UV_VISOR_MAGENTA,no_zscore,ridge_linear,0.023027045116242196,0.4957478739369685,236,-443.5
train_d2_test_d3d4,UV_VISOR_MAGENTA,no_category,ridge_linear,0.025809261415643648,0.4932466233116558,165,32.5
train_d2_test_d3d4,UV_VISOR_MAGENTA,local_only,ridge_linear,0.013814331413668007,0.492496248124062,76,12.0
train_d2_test_d3d4,TRANSLATOR_SPACE_GRAY,no_orderbook,ridge_linear,-0.021701717600531526,0.4819909954977489,903,-4604.0
train_d2_test_d3d4,TRANSLATOR_SPACE_GRAY,no_zscore,ridge_linear,-0.02480158682453031,0.483991995997999,895,-4138.0
train_d2_test_d3d4,TRANSLATOR_SPACE_GRAY,no_category,ridge_linear,-0.0012125203185016982,0.5017508754377189,235,-936.5
train_d2_test_d3d4,TRANSLATOR_SPACE_GRAY,local_only,ridge_linear,0.0002968395009687443,0.5007503751875938,118,-322.0
train_d2_test_d3d4,TRANSLATOR_ASTRO_BLACK,no_orderbook,ridge_linear,0.017944168120142975,0.5055027513756879,1694,-6096.5
train_d2_test_d3d4,TRANSLATOR_ASTRO_BLACK,no_zscore,ridge_linear,0.019646853957302663,0.5012506253126563,1676,-5865.0
train_d2_test_d3d4,TRANSLATOR_ASTRO_BLACK,no_category,ridge_linear,0.026260974844411786,0.5090045022511256,399,-759.5
train_d2_test_d3d4,TRANSLATOR_ASTRO_BLACK,local_only,ridge_linear,0.02063808407766863,0.5060030015007504,185,-453.5
train_d2_test_d3d4,TRANSLATOR_ECLIPSE_CHARCOAL,no_orderbook,ridge_linear,0.031220770418029807,0.5145072536268134,484,-1231.0
train_d2_test_d3d4,TRANSLATOR_ECLIPSE_CHARCOAL,no_zscore,ridge_linear,0.036690982228204216,0.5192596298149075,483,-1589.5
train_d2_test_d3d4,TRANSLATOR_ECLIPSE_CHARCOAL,no_category,ridge_linear,0.0152197169114761,0.5045022511255628,113,-251.5
train_d2_test_d3d4,TRANSLATOR_ECLIPSE_CHARCOAL,local_only,ridge_linear,0.008393741579006601,0.5035017508754377,60,-213.0
train_d2_test_d3d4,TRANSLATOR_GRAPHITE_MIST,no_orderbook,ridge_linear,0.005537400717234524,0.48999499749874936,888,-4453.0
train_d2_test_d3d4,TRANSLATOR_GRAPHITE_MIST,no_zscore,ridge_linear,0.014347448432757232,0.49149574787393696,751,-3133.5
train_d2_test_d3d4,TRANSLATOR_GRAPHITE_MIST,no_category,ridge_linear,0.016008386680628945,0.4957478739369685,469,-1199.0
train_d2_test_d3d4,TRANSLATOR_GRAPHITE_MIST,local_only,ridge_linear,0.009119037718770368,0.49149574787393696,371,-1384.0
train_d2_test_d3d4,TRANSLATOR_VOID_BLUE,no_orderbook,ridge_linear,0.01042606650724576,0.5055027513756879,601,-2258.5
train_d2_test_d3d4,TRANSLATOR_VOID_BLUE,no_zscore,ridge_linear,0.013798066991624672,0.5002501250625313,501,-2103.0
train_d2_test_d3d4,TRANSLATOR_VOID_BLUE,no_category,ridge_linear,0.006113135741908857,0.49949974987493745,392,-993.0
train_d2_test_d3d4,TRANSLATOR_VOID_BLUE,local_only,ridge_linear,-0.005272774045788811,0.5015007503751876,227,-564.0
train_d2_test_d3d4,PANEL_1X2,no_orderbook,ridge_linear,-0.04126935879672935,0.48799399699849927,266,-1386.5
train_d2_test_d3d4,PANEL_1X2,no_zscore,ridge_linear,-0.01636569240438283,0.4889944972486243,308,-1401.0
train_d2_test_d3d4,PANEL_1X2,no_category,ridge_linear,0.021125576350500583,0.5035017508754377,122,65.5
train_d2_test_d3d4,PANEL_1X2,local_only,ridge_linear,-0.01984264674043823,0.4812406203101551,6,-39.0
train_d2_test_d3d4,PANEL_2X2,no_orderbook,ridge_linear,0.005343417234064217,0.5027513756878439,1294,-5759.5
train_d2_test_d3d4,PANEL_2X2,no_zscore,ridge_linear,0.002679874475975682,0.49799899949974985,1376,-5298.5
train_d2_test_d3d4,PANEL_2X2,no_category,ridge_linear,-0.012715925713478522,0.48849424712356176,361,-1082.0
train_d2_test_d3d4,PANEL_2X2,local_only,ridge_linear,0.004374121583543132,0.4942471235617809,13,-86.0
train_d2_test_d3d4,PANEL_1X4,no_orderbook,ridge_linear,0.0031624988561858992,0.4917458729364682,1163,-5142.5
train_d2_test_d3d4,PANEL_1X4,no_zscore,ridge_linear,0.028103518217548452,0.4927463731865933,887,-2786.0
train_d2_test_d3d4,PANEL_1X4,no_category,ridge_linear,0.0069988858137861685,0.4942471235617809,457,-1973.0
train_d2_test_d3d4,PANEL_1X4,local_only,ridge_linear,-0.018022578620076186,0.4814907453726863,126,-788.5
train_d2_test_d3d4,PANEL_2X4,no_orderbook,ridge_linear,-0.011806333345856249,0.4812406203101551,355,-1206.0
train_d2_test_d3d4,PANEL_2X4,no_zscore,ridge_linear,5.252667982773033e-05,0.48624312156078037,377,-1279.5
train_d2_test_d3d4,PANEL_2X4,no_category,ridge_linear,-7.178504848528377e-05,0.5017508754377189,250,-1080.5
train_d2_test_d3d4,PANEL_2X4,local_only,ridge_linear,-0.025100114120500495,0.48774387193596797,81,-745.0
train_d2_test_d3d4,PANEL_4X4,no_orderbook,ridge_linear,-0.000614693213340166,0.49724862431215605,1136,-4888.5
train_d2_test_d3d4,PANEL_4X4,no_zscore,ridge_linear,0.0018442343659945905,0.49724862431215605,1131,-4740.0
train_d2_test_d3d4,PANEL_4X4,no_category,ridge_linear,-0.008922139989889988,0.4954977488744372,349,-1519.5
train_d2_test_d3d4,PANEL_4X4,local_only,ridge_linear,0.002549632121104082,0.5012506253126563,75,-1.5
