split,product,threshold_mult,n_trades_proxy,proxy_edge_sum,proxy_edge_mean
loo_test_d3,PEBBLES_XL,0.75,795,-3176.5,-3.9955974842767294
loo_test_d3,PEBBLES_XL,1.0,527,-1537.0,-2.9165085388994307
loo_test_d3,PEBBLES_XL,1.25,316,-1281.0,-4.05379746835443
loo_test_d3,PEBBLES_XL,1.5,203,-1375.0,-6.773399014778325
loo_test_d3,ROBOT_VACUUMING,0.5,1627,-5179.0,-3.183159188690842
loo_test_d3,ROBOT_VACUUMING,0.75,1422,-4421.0,-3.109001406469761
loo_test_d3,ROBOT_VACUUMING,1.0,1239,-3648.5,-2.9447134786117837
loo_test_d3,ROBOT_VACUUMING,1.25,1041,-3547.0,-3.4073006724303556
loo_test_d3,ROBOT_VACUUMING,1.5,848,-2764.0,-3.259433962264151
loo_test_d3,ROBOT_MOPPING,0.5,1122,-4674.5,-4.1662210338680925
loo_test_d3,ROBOT_MOPPING,0.75,762,-3143.5,-4.125328083989501
loo_test_d3,ROBOT_MOPPING,1.0,496,-1875.0,-3.780241935483871
loo_test_d3,ROBOT_MOPPING,1.25,291,-1006.5,-3.4587628865979383
loo_test_d3,ROBOT_MOPPING,1.5,183,-430.5,-2.3524590163934427
loo_test_d3,ROBOT_DISHES,0.5,1460,-4995.0,-3.421232876712329
loo_test_d3,ROBOT_DISHES,0.75,1241,-3957.5,-3.1889605157131347
loo_test_d3,ROBOT_DISHES,1.0,1003,-3251.5,-3.2417746759720836
loo_test_d3,ROBOT_DISHES,1.25,821,-2695.5,-3.2831912302070645
loo_test_d3,ROBOT_DISHES,1.5,653,-2190.0,-3.3537519142419603
loo_test_d3,ROBOT_LAUNDRY,0.5,852,-2445.0,-2.869718309859155
loo_test_d3,ROBOT_LAUNDRY,0.75,499,-1521.5,-3.0490981963927855
loo_test_d3,ROBOT_LAUNDRY,1.0,250,-926.0,-3.704
loo_test_d3,ROBOT_LAUNDRY,1.25,114,-255.5,-2.241228070175439
loo_test_d3,ROBOT_LAUNDRY,1.5,48,9.0,0.1875
loo_test_d3,ROBOT_IRONING,0.5,1176,-2876.0,-2.445578231292517
loo_test_d3,ROBOT_IRONING,0.75,797,-2012.5,-2.525094102885822
loo_test_d3,ROBOT_IRONING,1.0,516,-1506.0,-2.9186046511627906
loo_test_d3,ROBOT_IRONING,1.25,338,-812.0,-2.4023668639053253
loo_test_d3,ROBOT_IRONING,1.5,217,-631.0,-2.9078341013824884
loo_test_d3,UV_VISOR_YELLOW,0.5,307,-1894.5,-6.171009771986971
loo_test_d3,UV_VISOR_YELLOW,0.75,95,-265.5,-2.794736842105263
loo_test_d3,UV_VISOR_YELLOW,1.0,46,-104.0,-2.260869565217391
loo_test_d3,UV_VISOR_YELLOW,1.25,33,-40.0,-1.2121212121212122
loo_test_d3,UV_VISOR_YELLOW,1.5,28,-16.5,-0.5892857142857143
loo_test_d3,UV_VISOR_AMBER,0.5,356,-1519.5,-4.268258426966292
loo_test_d3,UV_VISOR_AMBER,0.75,125,-489.5,-3.916
loo_test_d3,UV_VISOR_AMBER,1.0,57,-98.0,-1.719298245614035
loo_test_d3,UV_VISOR_AMBER,1.25,40,104.5,2.6125
loo_test_d3,UV_VISOR_AMBER,1.5,36,96.0,2.6666666666666665
loo_test_d3,UV_VISOR_ORANGE,0.5,210,-859.5,-4.0928571428571425
loo_test_d3,UV_VISOR_ORANGE,0.75,71,-60.0,-0.8450704225352113
loo_test_d3,UV_VISOR_ORANGE,1.0,47,191.5,4.074468085106383
loo_test_d3,UV_VISOR_ORANGE,1.25,36,145.5,4.041666666666667
loo_test_d3,UV_VISOR_ORANGE,1.5,34,154.5,4.544117647058823
loo_test_d3,UV_VISOR_RED,0.5,931,-5683.5,-6.104726100966703
loo_test_d3,UV_VISOR_RED,0.75,485,-3359.5,-6.9268041237113405
loo_test_d3,UV_VISOR_RED,1.0,211,-954.5,-4.523696682464455
loo_test_d3,UV_VISOR_RED,1.25,103,-250.5,-2.4320388349514563
loo_test_d3,UV_VISOR_RED,1.5,60,105.5,1.7583333333333333
loo_test_d3,UV_VISOR_MAGENTA,0.5,281,-2102.0,-7.480427046263345
