model,feature_set,ic,sign_accuracy,proxy_edge_sum,trades
decision_stump:vol_20:9.636:-1,single_feature,-0.0036135877514859222,0.4792396198099049,-14845.0,1999
decision_stump:cat_ret_5_ex:-8.25:-1,single_feature,-0.05478837238613575,0.47223611805902954,-14849.5,1999
decision_stump:cat_resid_z_200:-1.001:+1,single_feature,0.022209767074360842,0.5015007503751876,-15198.0,3998
decision_stump:cat_resid_z_200:-0.02042:-1,single_feature,-0.014320181843229644,0.48874437218609307,-15203.5,1999
decision_stump:vol_20:9.479:-1,single_feature,0.014248158766319005,0.49799899949974985,-15600.0,3998
decision_stump:cat_ret_5_ex:0.25:-1,single_feature,0.013036774812282664,0.5095047523761881,-15713.0,3998
decision_stump:z_50:1.131:-1,single_feature,0.03257375782961381,0.5117558779389695,-15883.0,1999
decision_stump:ret_10:-41.5:+1,single_feature,-0.016547593824517346,0.49799899949974985,-15961.5,3998
decision_stump:cat_resid_z_200:-0.09848:-1,single_feature,-0.010299163804843693,0.48624312156078037,-16184.0,3998
decision_stump:z_200:-0.009064:-1,single_feature,-0.026872782776625945,0.47648824412206103,-16406.0,3998
decision_stump:z_50:1.152:-1,single_feature,0.04304656827253114,0.5127563781890946,-16433.5,1999
decision_stump:spread:17:-1,single_feature,0.017482373400413663,0.4927463731865933,-16466.0,1999
decision_stump:vol_20:6.444:+1,single_feature,-0.0049334020778131135,0.49024512256128067,-16730.5,1999
decision_stump:z_200:1.014:-1,single_feature,-0.017974992672881388,0.47573786893446723,-16762.5,1999
decision_stump:cat_resid_z_200:1.075:+1,single_feature,-0.04551664988381066,0.4817408704352176,-16808.5,1999
decision_stump:cat_ret_1_ex:2.375:-1,single_feature,-0.006911410398406755,0.49074537268634316,-16921.0,1999
decision_stump:cat_resid_z_200:-0.1487:-1,single_feature,-0.00707009070745597,0.4942471235617809,-16945.0,3998
decision_stump:ret_3:9.5:-1,single_feature,-0.0017124239272688579,0.4927463731865933,-17029.5,1999
decision_stump:ret_3:-0.5:-1,single_feature,-0.020319439560907468,0.48024012006003003,-17224.0,1999
decision_stump:cat_resid_z_200:0.001159:-1,single_feature,-0.010869043365064574,0.48949474737368687,-17259.5,3998
decision_stump:cat_ret_1_ex:4.375:+1,single_feature,-0.035958827287761806,0.4812406203101551,-17269.5,1999
decision_stump:z_50:-1.12:+1,single_feature,0.017477299839359,0.49674837418709356,-17484.0,3998
decision_stump:ret_20:-1:+1,single_feature,0.0213943429868457,0.5164248791062197,-18057.5,5997
decision_stump:z_50:-1.179:+1,single_feature,-0.009237400893477197,0.48574287143571787,-18311.5,3998
decision_stump:vol_20:10.27:-1,single_feature,-0.00978117583230669,0.49074537268634316,-18361.0,3998
decision_stump:z_50:0.1413:+1,single_feature,0.0017141844510294554,0.4909954977488744,-18602.0,3998
decision_stump:vol_20:8.534:-1,single_feature,-0.04454207422592387,0.47573786893446723,-18606.0,3998
decision_stump:cat_ret_1_ex:5:+1,single_feature,-0.026848287455066115,0.4852426213106553,-18632.0,3998
decision_stump:vol_20:11.85:-1,single_feature,-0.02985405436496416,0.49024512256128067,-18652.5,3998
decision_stump:cat_resid_z_200:-1.153:+1,single_feature,-0.017024627523580114,0.48874437218609307,-19055.5,3998
decision_stump:vol_20:9.842:+1,single_feature,0.054287231712780826,0.5082541270635318,-19718.0,3998
decision_stump:ret_10:-22:+1,single_feature,0.00932094473907405,0.5,-19742.0,3998
decision_stump:cat_resid_z_200:-1.781:-1,single_feature,-0.0257653687367974,0.4834917458729365,-19830.0,3998
decision_stump:vol_20:8.485:+1,single_feature,0.026468188270446582,0.49824912456228115,-20338.0,3998
decision_stump:ret_10:0.5:-1,single_feature,0.05207990205616303,0.5152576288144072,-20395.0,3998
decision_stump:spread:11:-1,single_feature,0.0020647226842226223,0.48024012006003003,-20470.5,3998
decision_stump:cat_resid_z_200:-1.219:+1,single_feature,-0.061403275819087055,0.3149074537268634,-20694.0,3998
decision_stump:vol_20:9.645:+1,single_feature,0.04793070738777325,0.5055027513756879,-20853.5,3998
decision_stump:z_50:-0.9904:+1,single_feature,-0.004316140885336847,0.49874937468734365,-20871.0,3998
decision_stump:cat_ret_1_ex:-9.375:+1,single_feature,-0.025612929521394476,0.48099049524762383,-20981.5,3998
decision_stump:z_200:-1.802:+1,single_feature,-0.03496951234280566,0.49974987493746875,-21309.0,3998
decision_stump:z_50:-1.127:+1,single_feature,-0.032941744605166495,0.46923461730865434,-21348.0,3998
decision_stump:cat_ret_5_ex:14.38:-1,single_feature,-0.016080344672146918,0.48924462231115556,-21376.0,3998
decision_stump:ret_20:37:-1,single_feature,0.015392181249570027,0.49724862431215605,-21542.0,3998
decision_stump:vol_20:10.48:-1,single_feature,-0.016856337234754038,0.4949974987493747,-22313.5,3998
decision_stump:cat_ret_5_ex:0.125:-1,single_feature,0.01249416268939084,0.5085876271469068,-23101.5,5997
decision_stump:ret_5:-16:+1,single_feature,-0.01681991565350868,0.4927463731865933,-23110.5,3998
decision_stump:ret_5:16.5:-1,single_feature,-0.012159404805056152,0.48574287143571787,-23602.0,3998
decision_stump:cat_ret_1_ex:3.5:+1,single_feature,-0.00723943151595481,0.49391362347840584,-23711.5,5997
decision_stump:z_200:-1.283:-1,single_feature,-0.003363998841238646,0.40745372686343173,-24431.0,3998
decision_stump:cat_ret_1_ex:0:+1,single_feature,0.010169653484688635,0.4930798732699683,-24588.0,5997
decision_stump:ret_10:-21.88:+1,single_feature,0.041137735137735616,0.5132566283141571,-24652.0,3998
decision_stump:cat_resid_z_200:-1.124:-1,single_feature,-0.016756841123776702,0.3996998499249625,-24896.0,3998
decision_stump:cat_ret_1_ex:-3.625:+1,single_feature,0.018734700189808405,0.49974987493746875,-24951.5,3998
decision_stump:cat_ret_5_ex:0.125:+1,single_feature,0.0039661891429230165,0.4792396198099049,-25221.0,3998
decision_stump:vol_20:10.96:-1,single_feature,0.024431338218687853,0.5077538769384692,-25281.0,3998
decision_stump:cat_ret_1_ex:8.775:-1,single_feature,-0.012660667434989224,0.5030015007503752,-25453.5,3998
decision_stump:cat_ret_5_ex:0:+1,single_feature,-0.03395958571756751,0.4817408704352176,-26529.0,3998
decision_stump:cat_resid_z_200:1.16:-1,single_feature,0.01779036299768823,0.503751875937969,-27336.0,3998
decision_stump:vol_20:12.86:-1,single_feature,0.006435868022138116,0.49974987493746875,-27364.5,3998
decision_stump:ret_3:0:+1,single_feature,-0.004002525902422748,0.4844922461230615,-27410.5,3998
decision_stump:vol_20:13.78:-1,single_feature,0.027907497231199823,0.5127563781890946,-27903.0,3998
decision_stump:spread:9:-1,single_feature,0.021406429937350008,0.5040853760213441,-27907.0,5997
decision_stump:ret_10:22.5:-1,single_feature,-0.021052315356791564,0.4767383691845923,-28116.0,3998
decision_stump:z_200:1.253:-1,single_feature,0.009299172334466078,0.49599799899949976,-28202.0,3998
decision_stump:cat_resid_z_200:1.201:-1,single_feature,-0.002383805838379591,0.5042521260630315,-28293.0,3998
decision_stump:cat_resid_z_200:1.205:-1,single_feature,0.014442573905417965,0.4917458729364682,-28479.0,3998
decision_stump:vol_20:13.35:-1,single_feature,0.016460190949539984,0.5007503751875938,-28564.5,3998
decision_stump:z_50:0.02365:-1,single_feature,-0.026699122159035305,0.48949474737368687,-28672.5,3998
decision_stump:vol_20:12.81:-1,single_feature,0.0029258487688998583,0.49874937468734365,-28805.0,3998
decision_stump:cat_ret_5_ex:-7.688:+1,single_feature,-0.02539183112885655,0.4774887443721861,-29765.0,3998
decision_stump:ret_1:7:-1,single_feature,0.023426013933294722,0.5038769384692345,-30005.5,5997
decision_stump:ret_10:0:-1,single_feature,0.05320471785620001,0.5134233783558445,-30242.5,5997
decision_stump:cat_ret_5_ex:-1:-1,single_feature,0.009415562409217268,0.49024512256128067,-30687.0,3998
decision_stump:cat_ret_1_ex:1:+1,single_feature,-0.008848608541983662,0.4834917458729365,-31490.0,3998
decision_stump:cat_ret_1_ex:8.5:-1,single_feature,-0.027926238177380297,0.48774387193596797,-32090.0,3998
decision_stump:ret_3:-7.5:-1,single_feature,-0.0015696451690374225,0.48774387193596797,-32218.0,3998
decision_stump:ret_20:-24.5:-1,single_feature,0.022053984696966615,0.49374687343671836,-32398.0,3998
decision_stump:cat_resid_z_200:1.201:+1,single_feature,-0.11251294794929079,0.14207103551775888,-32433.0,3998
decision_stump:cat_ret_5_ex:-3.375:-1,single_feature,-0.0018362146814638277,0.48999499749874936,-32697.5,3998
decision_stump:vol_20:7.909:+1,single_feature,0.009585243577928237,0.4934967483741871,-32995.5,3998
decision_stump:ret_10:-21:+1,single_feature,-0.026163708408690273,0.4882441220610305,-33303.0,3998
decision_stump:ret_10:2:+1,single_feature,0.005311363229534418,0.5060030015007504,-33752.0,3998
decision_stump:z_50:-0.005002:+1,single_feature,-0.0047618696075293785,0.4867433716858429,-34219.0,3998
decision_stump:ret_1:0:-1,single_feature,0.011764961160676157,0.4463481740870435,-34872.5,7996
decision_stump:ret_3:-8:+1,single_feature,-0.029941763370907894,0.4834917458729365,-35038.5,3998
decision_stump:vol_20:8.846:-1,single_feature,0.01157603436340626,0.5002501250625313,-35345.5,3998
decision_stump:ret_5:-23:-1,single_feature,-0.008608435898599527,0.49374687343671836,-37295.0,7996
decision_stump:vol_20:8.906:-1,single_feature,-0.013833189408128721,0.4817408704352176,-37360.0,3998
decision_stump:ret_3:0:-1,single_feature,-0.0031185275590773728,0.4899116224779056,-37413.5,5997
decision_stump:ret_10:-23:+1,single_feature,0.02888037247225483,0.495914623978656,-37713.5,5997
decision_stump:ret_5:0:+1,single_feature,0.007449547923776213,0.49749874937468735,-38190.0,5997
decision_stump:spread:10:-1,single_feature,0.014038070087657928,0.5011255627813908,-38642.5,7996
decision_stump:cat_ret_1_ex:0:-1,single_feature,0.0011759883559177668,0.5018759379689844,-39724.0,7996
decision_stump:ret_3:-21:-1,single_feature,0.04423193696961645,0.49405952976488243,-39742.5,9995
decision_stump:ret_5:1:+1,single_feature,-0.016513829234126816,0.4867433716858429,-41135.0,3998
decision_stump:ret_3:13:-1,single_feature,0.0017450993714704308,0.49541437385359344,-42466.0,5997
decision_stump:ret_1:-10:-1,single_feature,0.04713489712724981,0.43276638319159577,-45508.5,13993
decision_stump:spread:12:-1,single_feature,0.010964569380524196,0.5064198766049691,-47951.0,7996
decision_stump:spread:13:-1,single_feature,-5.105727515619778e-05,0.48924462231115556,-51039.0,7996
decision_stump:ret_3:12:-1,single_feature,0.03306089865362256,0.5065032516258129,-51590.0,7996
decision_stump:spread:14:-1,single_feature,-0.014161840415381757,0.48857762214440553,-56864.5,7996
ridge_linear,local_only,0.00452786162485087,0.48812306153076535,-81697.5,22909
decision_stump:obi_1:0:+1,single_feature,0.020563720137278054,0.49480990495247623,-96599.0,19990
ridge_linear,no_category,0.013410792334561814,0.4885152576288144,-123078.5,41868
ridge_linear,no_zscore,0.013478359649232214,0.4882031015507754,-384025.5,96272
ridge_linear,no_orderbook,0.009029130852468141,0.48798699349674834,-388604.0,91916
ridge_linear,all,0.012643361913297953,0.4880710355177589,-418189.5,103846
logistic_like_ridge_score,all,0.011299333282309795,0.48678239119559785,-1366513.5,222614
