variant_id,day,k_micro,k_imbalance,threshold,engine,final_pnl_total,own_trade_count,traded_qty,return_code,tick_count
micro_k1p75_imb1_thr0,1,1.75,1.0,0.0,rust,-26145.0,1103,,0,10000
micro_k1p75_imb1_thr0,2,1.75,1.0,0.0,rust,-27486.5,1128,,0,10000
micro_k1p75_imb1_thr0p25,0,1.75,1.0,0.25,rust,-1438.0,391,,0,10000
micro_k1p75_imb1_thr0p25,1,1.75,1.0,0.25,rust,-1666.5,424,,0,10000
micro_k1p75_imb1_thr0p25,2,1.75,1.0,0.25,rust,-6876.0,447,,0,10000
micro_k1p75_imb1_thr0p5,0,1.75,1.0,0.5,rust,-1406.0,186,,0,10000
micro_k1p75_imb1_thr0p5,1,1.75,1.0,0.5,rust,-4927.0,213,,0,10000
micro_k1p75_imb1_thr0p5,2,1.75,1.0,0.5,rust,-7425.0,232,,0,10000
micro_k1p75_imb1p25_thr0,0,1.75,1.25,0.0,rust,-23063.0,1122,,0,10000
micro_k1p75_imb1p25_thr0,1,1.75,1.25,0.0,rust,-26322.5,1107,,0,10000
micro_k1p75_imb1p25_thr0,2,1.75,1.25,0.0,rust,-27628.5,1133,,0,10000
micro_k1p75_imb1p25_thr0p25,0,1.75,1.25,0.25,rust,-1456.0,394,,0,10000
micro_k1p75_imb1p25_thr0p25,1,1.75,1.25,0.25,rust,-1781.0,429,,0,10000
micro_k1p75_imb1p25_thr0p25,2,1.75,1.25,0.25,rust,-7327.5,462,,0,10000
micro_k1p75_imb1p25_thr0p5,0,1.75,1.25,0.5,rust,-1833.0,202,,0,10000
micro_k1p75_imb1p25_thr0p5,1,1.75,1.25,0.5,rust,-4709.0,218,,0,10000
micro_k1p75_imb1p25_thr0p5,2,1.75,1.25,0.5,rust,-7073.0,240,,0,10000
