engine,test_day,train_days,selected_variant_id,k_micro,k_imbalance,threshold,train_pnl,test_pnl,test_rank,test_variant_count
rust,0,"1,2",micro_k1p25_imb1p25_thr0,1.25,1.25,0.0,6857.0,1286.0,1,27
rust,1,"0,2",micro_k1p25_imb1p25_thr0,1.25,1.25,0.0,6044.5,2098.5,1,27
rust,2,"0,1",micro_k1p25_imb1p25_thr0,1.25,1.25,0.0,3384.5,4758.5,1,27
