run_id,stage,parameter,value,status,return_code,total_pnl,day_0_pnl,day_1_pnl,day_2_pnl,min_day_pnl,mean_day_pnl,std_day_pnl,score_total,score_min_day,score_mean_day,score_neg_std,config_json
round3-alpha-baseline-baseline-0p2-0-1777187044565,baseline,baseline,0.2,ok,0,-437790.0,-437790.0,,,-437790.0,-437790.0,0.0,-437790.0,-437790.0,-437790.0,-0.0,"{""option_micro_scale"": 1.0, ""option_reversion_scale"": 1.0, ""option_structure_scale"": 1.0, ""residual_prior_weight"": 0.2, ""underlying_micro_scale"": 1.0, ""underlying_reversion_scale"": 1.0, ""underlying_structure_scale"": 1.0}"
round3-alpha-pass1-residual_prior_weight-0-2-1777187055204,pass1,residual_prior_weight,0.0,ok,0,-437790.0,-437790.0,,,-437790.0,-437790.0,0.0,-437790.0,-437790.0,-437790.0,-0.0,"{""option_micro_scale"": 1.0, ""option_reversion_scale"": 1.0, ""option_structure_scale"": 1.0, ""residual_prior_weight"": 0.0, ""underlying_micro_scale"": 1.0, ""underlying_reversion_scale"": 1.0, ""underlying_structure_scale"": 1.0}"
