y,name,legs,folds,sum_proxy,mean_proxy,min_proxy,avg,trades,sd,hl,cross,entry,margin
SLEEP_POD_LAMB_WOOL,ret2,OXYGEN_SHAKE_MORNING_BREATH|PANEL_2X4,4,51591.5,12897.875,-2547.0,22.608464708458058,5266.25,343.3985733642653,910.6850967833524,2,1.65,1.0
SNACKPACK_RASPBERRY,xlev2,SLEEP_POD_LAMB_WOOL|OXYGEN_SHAKE_MINT,4,51397.0,12849.25,6475.0,34.38295098227304,742.25,143.56679089946158,375.63653699708965,2,2.2,1.0
TRANSLATOR_SPACE_GRAY,xlev2,PEBBLES_XL|MICROCHIP_CIRCLE,4,49568.0,12392.0,7792.0,4.586928288715923,4199.5,279.419601488812,668.0830152201281,2,1.8,1.0
MICROCHIP_RECTANGLE,lev5,ROBOT_MOPPING|MICROCHIP_SQUARE|ROBOT_IRONING|PEBBLES_M|OXYGEN_SHAKE_MORNING_BREATH,4,48301.5,12075.375,-16031.5,2.822216776802359,8417.0,256.12447638162826,390.55449289835167,4,1.0,1.0
TRANSLATOR_ECLIPSE_CHARCOAL,ret3,SNACKPACK_PISTACHIO|SNACKPACK_STRAWBERRY|UV_VISOR_MAGENTA,4,48203.0,12050.75,-9429.0,13.141680201729818,4230.0,237.24804358227198,514.1667767670289,3,2.0,1.0
SNACKPACK_STRAWBERRY,xlev3,UV_VISOR_AMBER|SLEEP_POD_POLYESTER|TRANSLATOR_VOID_BLUE,4,45175.5,11293.875,1889.0,24.117606960217717,2671.75,148.85364027677588,428.2417962883549,3,2.2,1.0
TRANSLATOR_ASTRO_BLACK,lev5,PEBBLES_XS|ROBOT_VACUUMING|MICROCHIP_RECTANGLE|SLEEP_POD_NYLON|OXYGEN_SHAKE_MORNING_BREATH,4,44779.0,11194.75,5564.5,3.2871171494847378,7618.5,201.48599329613077,450.47450848751345,5,2.2,1.0
UV_VISOR_ORANGE,lev5,SNACKPACK_PISTACHIO|GALAXY_SOUNDS_BLACK_HOLES|OXYGEN_SHAKE_GARLIC|PEBBLES_L|SLEEP_POD_COTTON,4,43687.5,10921.875,-6299.5,7.730141716005335,7081.25,281.3735025612759,844.2312401917183,5,2.2,1.0
GALAXY_SOUNDS_SOLAR_WINDS,ret5,TRANSLATOR_GRAPHITE_MIST|SNACKPACK_CHOCOLATE|UV_VISOR_YELLOW|PEBBLES_S|SNACKPACK_PISTACHIO,4,41805.5,10451.375,-5349.0,19.843345994314873,3526.0,285.8661093756668,445.2407241147377,5,1.65,1.0
ROBOT_IRONING,xlev2,OXYGEN_SHAKE_MORNING_BREATH|PEBBLES_M,4,39842.0,9960.5,-5320.5,3.846780076541467,7167.0,350.0176692295954,2307.404193879944,2,1.65,1.0
