product,base,best,improve,signal,base_days,best_days
GALAXY_SOUNDS_DARK_MATTER,63016.0,64062.0,1046.0,"('GALAXY_SOUNDS_BLACK_HOLES', 50, 0.05)","(14166.0, 31254.0, 17596.0)","(14473.0, 31475.0, 18114.0)"
MICROCHIP_RECTANGLE,46434.0,47394.0,960.0,"('MICROCHIP_SQUARE', 200, -0.1)","(5750.0, 22696.0, 17988.0)","(5750.0, 23416.0, 18228.0)"
PEBBLES_M,45900.0,46824.0,924.0,"('PEBBLES_XS', 200, -0.05)","(-595.0, 29166.0, 17329.0)","(-931.0, 30374.0, 17381.0)"
PANEL_1X4,35501.0,36417.0,916.0,"('PANEL_1X2', 500, 1)","(-230.0, 23666.0, 12065.0)","(-1640.0, 28832.0, 9225.0)"
SLEEP_POD_SUEDE,65373.0,66273.0,900.0,"('SLEEP_POD_LAMB_WOOL', 200, 0.1)","(10950.0, 31659.0, 22764.0)","(10950.0, 31912.0, 23411.0)"
PANEL_2X4,44713.0,45578.0,865.0,"('PANEL_1X4', 500, -0.1)","(26384.0, 14202.0, 4127.0)","(26963.0, 14820.0, 3795.0)"
SLEEP_POD_COTTON,45970.0,46689.0,719.0,"('SLEEP_POD_LAMB_WOOL', 500, 0.25)","(11190.0, 14460.0, 20320.0)","(11190.0, 15009.0, 20490.0)"
SLEEP_POD_POLYESTER,56488.0,57120.0,632.0,"('SLEEP_POD_SUEDE', 200, -0.05)","(17615.0, 29760.0, 9113.0)","(17615.0, 30392.0, 9113.0)"
GALAXY_SOUNDS_SOLAR_WINDS,42038.0,42663.0,625.0,"('GALAXY_SOUNDS_BLACK_HOLES', 50, -0.25)","(18703.0, 15990.0, 7345.0)","(18758.0, 16270.0, 7635.0)"
UV_VISOR_YELLOW,44413.0,44895.0,482.0,"('UV_VISOR_AMBER', 500, 0.25)","(17705.0, 0.0, 26708.0)","(18035.0, 0.0, 26860.0)"
OXYGEN_SHAKE_MINT,51198.0,51652.0,454.0,"('OXYGEN_SHAKE_GARLIC', 200, -0.05)","(31763.0, 4200.0, 15235.0)","(31847.0, 4000.0, 15805.0)"
UV_VISOR_ORANGE,32514.0,32894.0,380.0,"('UV_VISOR_YELLOW', 200, -0.25)","(7345.0, 8575.0, 16594.0)","(7645.0, 8875.0, 16374.0)"
ROBOT_VACUUMING,14774.0,15132.0,358.0,"('ROBOT_MOPPING', 100, 0.05)","(112.0, 14662.0, 0.0)","(180.0, 14662.0, 290.0)"
PANEL_2X2,26410.0,26682.0,272.0,"('PANEL_1X2', 50, 0.5)","(0.0, 16150.0, 10260.0)","(0.0, 16422.0, 10260.0)"
ROBOT_MOPPING,31989.0,32210.0,221.0,"('ROBOT_DISHES', 500, -0.05)","(-1835.0, 26361.0, 7463.0)","(-1835.0, 26582.0, 7463.0)"
ROBOT_IRONING,28613.0,28820.0,207.0,"('ROBOT_MOPPING', 20, -0.25)","(4860.0, 20283.0, 3470.0)","(4860.0, 20290.0, 3670.0)"
