name,path,n_products,oval_m,oval_t,oval_e,square_m,square_t,square_e,returncode,total_pnl,day_2,day_3,day_4,stdout_tail
split_om1p5_ot6p0_oe0p5_sm0p75_st6p0_se0p5,research/round5/generated_traders/split_om1p5_ot6p0_oe0p5_sm0p75_st6p0_se0p5.py,38,1.5,6.0,0.5,0.75,6.0,0.5,0,593069.5,179715.5,198751.5,214602.5,"    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p5_ot6p0_oe0p5_sm0p75_st6p0_se0p5.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p5_ot6p0_oe0p5_sm0p75_st6p0_se0p5.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7207    179715.50  runs/backtest-1777386660215-round5-day+2
D+3               3    10000        8768    198751.50  runs/backtest-1777386660215-round5-day+3
D+4               4    10000        7883    214602.50  runs/backtest-1777386660215-round5-day+4
TOTAL             -    30000       23858    593069.50  -
"
split_om1p25_ot5p5_oe0p0_sm0p75_st6p5_se0p0,research/round5/generated_traders/split_om1p25_ot5p5_oe0p0_sm0p75_st6p5_se0p0.py,38,1.25,5.5,0.0,0.75,6.5,0.0,0,592820.5,184870.5,196167.5,211782.5," for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Finished `release` profile [optimized] target(s) in 0.04s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p5_oe0p0_sm0p75_st6p5_se0p0.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p5_oe0p0_sm0p75_st6p5_se0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7195    184870.50  runs/backtest-1777386597504-round5-day+2
D+3               3    10000        8738    196167.50  runs/backtest-1777386597504-round5-day+3
D+4               4    10000        7854    211782.50  runs/backtest-1777386597504-round5-day+4
TOTAL             -    30000       23787    592820.50  -
"
split_om1p5_ot6p0_oe0p5_sm0p75_st6p0_se0p0,research/round5/generated_traders/split_om1p5_ot6p0_oe0p5_sm0p75_st6p0_se0p0.py,38,1.5,6.0,0.5,0.75,6.0,0.0,0,592280.5,179164.5,198766.5,214349.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p5_ot6p0_oe0p5_sm0p75_st6p0_se0p0.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p5_ot6p0_oe0p5_sm0p75_st6p0_se0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7216    179164.50  runs/backtest-1777386652481-round5-day+2
D+3               3    10000        8771    198766.50  runs/backtest-1777386652481-round5-day+3
D+4               4    10000        7889    214349.50  runs/backtest-1777386652481-round5-day+4
TOTAL             -    30000       23876    592280.50  -
"
split_om1p25_ot5p5_oe1p0_sm0p75_st5p0_se0p0,research/round5/generated_traders/split_om1p25_ot5p5_oe1p0_sm0p75_st5p0_se0p0.py,38,1.25,5.5,1.0,0.75,5.0,0.0,0,592234.5,171927.5,197922.5,222384.5,"or file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on build directory
    Finished `release` profile [optimized] target(s) in 0.06s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p5_oe1p0_sm0p75_st5p0_se0p0.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p5_oe1p0_sm0p75_st5p0_se0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7209    171927.50  runs/backtest-1777386621215-round5-day+2
D+3               3    10000        8777    197922.50  runs/backtest-1777386621215-round5-day+3
D+4               4    10000        7869    222384.50  runs/backtest-1777386621215-round5-day+4
TOTAL             -    30000       23855    592234.50  -
"
split_om1p25_ot5p5_oe0p5_sm0p75_st5p0_se0p0,research/round5/generated_traders/split_om1p25_ot5p5_oe0p5_sm0p75_st5p0_se0p0.py,38,1.25,5.5,0.5,0.75,5.0,0.0,0,592155.5,172106.5,197248.5,222800.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p5_oe0p5_sm0p75_st5p0_se0p0.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p5_oe0p5_sm0p75_st5p0_se0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7212    172106.50  runs/backtest-1777386605374-round5-day+2
D+3               3    10000        8780    197248.50  runs/backtest-1777386605374-round5-day+3
D+4               4    10000        7878    222800.50  runs/backtest-1777386605374-round5-day+4
TOTAL             -    30000       23870    592155.50  -
"
split_om1p25_ot5p5_oe0p0_sm0p75_st5p0_se0p0,research/round5/generated_traders/split_om1p25_ot5p5_oe0p0_sm0p75_st5p0_se0p0.py,38,1.25,5.5,0.0,0.75,5.0,0.0,0,590463.5,170278.5,197398.5,222786.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p5_oe0p0_sm0p75_st5p0_se0p0.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p5_oe0p0_sm0p75_st5p0_se0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7222    170278.50  runs/backtest-1777386589558-round5-day+2
D+3               3    10000        8782    197398.50  runs/backtest-1777386589558-round5-day+3
D+4               4    10000        7880    222786.50  runs/backtest-1777386589558-round5-day+4
TOTAL             -    30000       23884    590463.50  -
"
split_om1p25_ot5p0_oe0p5_sm0p75_st6p5_se0p0,research/round5/generated_traders/split_om1p25_ot5p0_oe0p5_sm0p75_st6p5_se0p0.py,38,1.25,5.0,0.5,0.75,6.5,0.0,0,589459.5,184799.5,195205.5,209454.5," lock on package cache
    Blocking waiting for file lock on shared package cache
    Blocking waiting for file lock on build directory
    Finished `release` profile [optimized] target(s) in 0.06s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p0_oe0p5_sm0p75_st6p5_se0p0.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p0_oe0p5_sm0p75_st6p5_se0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7189    184799.50  runs/backtest-1777386581737-round5-day+2
D+3               3    10000        8746    195205.50  runs/backtest-1777386581737-round5-day+3
D+4               4    10000        7871    209454.50  runs/backtest-1777386581737-round5-day+4
TOTAL             -    30000       23806    589459.50  -
"
split_om1p25_ot5p5_oe1p0_sm0p75_st5p5_se0p0,research/round5/generated_traders/split_om1p25_ot5p5_oe1p0_sm0p75_st5p5_se0p0.py,38,1.25,5.5,1.0,0.75,5.5,0.0,0,588886.5,175990.5,193996.5,218899.5,"or file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on build directory
    Finished `release` profile [optimized] target(s) in 0.06s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p5_oe1p0_sm0p75_st5p5_se0p0.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p5_oe1p0_sm0p75_st5p5_se0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7202    175990.50  runs/backtest-1777386621228-round5-day+2
D+3               3    10000        8764    193996.50  runs/backtest-1777386621228-round5-day+3
D+4               4    10000        7857    218899.50  runs/backtest-1777386621228-round5-day+4
TOTAL             -    30000       23823    588886.50  -
"
split_om1p25_ot5p5_oe0p5_sm0p75_st5p5_se0p0,research/round5/generated_traders/split_om1p25_ot5p5_oe0p5_sm0p75_st5p5_se0p0.py,38,1.25,5.5,0.5,0.75,5.5,0.0,0,588807.5,176169.5,193322.5,219315.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p5_oe0p5_sm0p75_st5p5_se0p0.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p5_oe0p5_sm0p75_st5p5_se0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7205    176169.50  runs/backtest-1777386605398-round5-day+2
D+3               3    10000        8767    193322.50  runs/backtest-1777386605398-round5-day+3
D+4               4    10000        7866    219315.50  runs/backtest-1777386605398-round5-day+4
TOTAL             -    30000       23838    588807.50  -
"
split_om1p25_ot5p5_oe0p0_sm0p75_st5p5_se0p0,research/round5/generated_traders/split_om1p25_ot5p5_oe0p0_sm0p75_st5p5_se0p0.py,38,1.25,5.5,0.0,0.75,5.5,0.0,0,587115.5,174341.5,193472.5,219301.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/split_om1p25_ot5p5_oe0p0_sm0p75_st5p5_se0p0.py --dataset round5 --products off --artifact-mode none`
trader: split_om1p25_ot5p5_oe0p0_sm0p75_st5p5_se0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7215    174341.50  runs/backtest-1777386589545-round5-day+2
D+3               3    10000        8769    193472.50  runs/backtest-1777386589545-round5-day+3
D+4               4    10000        7868    219301.50  runs/backtest-1777386589545-round5-day+4
TOTAL             -    30000       23852    587115.50  -
"
