leader,follower,h,days,n,corr_mean,corr_min,corr_max,edge_mean,edge_min,edge_max,same_sign_corr,same_sign_edge,score
SLEEP_POD_LAMB_WOOL,SLEEP_POD_LAMB_WOOL,500,3,688,0.0956620494697425,0.07454414205400955,0.11866009584347267,52.14361931295033,31.26825469189271,90.37764389736478,True,True,15.930071942294326
PEBBLES_S,PEBBLES_S,200,3,631,-0.09451295812871002,-0.12934949669593196,-0.04843654888484497,-45.01719918893928,-67.61228563651211,-20.96482213438735,True,True,13.788698631067913
PEBBLES_M,PEBBLES_M,500,3,605,0.060842197494221595,0.026144629791676123,0.1087643067754205,41.180645600164596,29.563725490196077,58.51950354609929,True,True,12.536720272532044
MICROCHIP_SQUARE,MICROCHIP_SQUARE,500,3,539,-0.02534715311439652,-0.057853734345568605,0.026279992245304563,-37.97069427729473,-55.40144820814925,-7.347912087912093,False,True,11.46724974253161
PEBBLES_S,PEBBLES_S,500,3,605,-0.05264761321457468,-0.1417235073403916,0.010140892326722595,-37.40012456879061,-98.41176470588235,3.5607925952552124,False,False,11.377980210280906
OXYGEN_SHAKE_EVENING_BREATH,OXYGEN_SHAKE_EVENING_BREATH,500,3,688,-0.08250138082395982,-0.12719228877211422,-0.05608290805759497,-33.83601895255539,-58.343211002203475,-12.301837725381404,True,True,10.398309828238496
PANEL_1X2,PANEL_1X2,500,3,688,0.07512651014195332,0.06097195994934836,0.08772053944028699,33.40316748556402,22.894817073170735,46.5185072815534,True,True,10.246329776095065
SLEEP_POD_LAMB_WOOL,SLEEP_POD_LAMB_WOOL,200,3,712,0.09794405889149688,0.08540772718308023,0.11758078017402276,31.9970064684063,21.50955149501661,50.62612723397278,True,True,9.892934117196381
OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_CHOCOLATE,500,3,688,-0.08868189512826789,-0.1388792845980673,-0.030797990708039145,-30.88335961617358,-44.40690013869626,-15.995820986247246,True,True,9.531053570236878
PEBBLES_XL,PEBBLES_XL,200,3,631,0.025227271535021457,-0.05725226133449307,0.08880376451738482,30.406864730030815,-26.230237154150196,84.60389256873242,False,False,9.197741233614309
TRANSLATOR_VOID_BLUE,TRANSLATOR_VOID_BLUE,500,3,688,-0.09346966524303164,-0.2149476621317168,-0.031106790515623838,-29.196070530960796,-86.03483777828433,6.993089430894309,True,False,9.039230155017334
PANEL_1X4,PANEL_1X4,500,3,688,-0.05467231740210121,-0.12288571941965219,-0.020277083548289655,-25.98038729505699,-30.756934812760054,-19.335954714687336,True,True,7.958133140723399
TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_ECLIPSE_CHARCOAL,500,3,688,-0.020610716234882868,-0.09671980560268825,0.08992564726397272,-25.621944642215613,-56.25329403606103,17.858434959349594,False,False,7.748415541369333
PEBBLES_L,PEBBLES_L,500,3,605,0.029916044116391306,-0.04338363130352232,0.08776724507700312,25.525986350247,-14.67640186915888,81.9656862745098,False,False,7.747544037423275
GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_PLANETARY_RINGS,500,3,688,-0.041903680854928134,-0.10365729511224489,0.00564640428076738,-25.087167446282034,-52.37196601941748,0.6255081300813004,False,False,7.651861276449393
GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_FLAMES,500,3,688,0.06783375089138505,0.03419011302864183,0.1038527569283358,24.278966862456613,22.484765595319505,27.517683772538142,True,True,7.487191311411138
PEBBLES_XL,PEBBLES_XL,50,3,641,-0.045830041751369975,-0.057445746859047374,-0.028702804470596872,-23.83236898363685,-27.9263220439691,-19.709668803418804,True,True,7.287200820345165
MICROCHIP_RECTANGLE,MICROCHIP_RECTANGLE,500,3,539,-0.032500018619269516,-0.10876759008299454,0.0700058769515904,-23.411518697028367,-75.3759706959707,52.66424229266174,False,False,7.120955664966319
MICROCHIP_OVAL,MICROCHIP_OVAL,500,3,539,-0.03852810353030634,-0.0966719174106218,0.010844127170438388,-23.06294520125248,-29.035164835164835,-17.898134511536583,False,True,7.0344678709666635
PEBBLES_M,PEBBLES_M,100,3,637,0.08314156138752653,0.05754233010258642,0.10386891031248666,22.502880942796196,18.914899352983465,26.5692910301606,True,True,7.000288967001438
MICROCHIP_OVAL,MICROCHIP_OVAL,200,3,558,-0.07376120318854155,-0.19305997641224137,0.04144873467261799,-22.492638831818443,-48.69665589007881,5.603218390804599,False,False,6.9690752591111575
SLEEP_POD_LAMB_WOOL,SLEEP_POD_LAMB_WOOL,100,3,722,0.09609897374786143,0.07945333129660004,0.11074229798485521,21.842300302432193,17.298347613219093,29.6005291005291,True,True,6.840987011973242
UV_VISOR_MAGENTA,UV_VISOR_MAGENTA,500,3,688,0.034840189029244274,-0.00830208230097403,0.08032305249665664,22.002046941505714,-11.329880374479885,48.75711382113821,False,False,6.705134649539447
UV_VISOR_AMBER,UV_VISOR_AMBER,500,3,688,-0.05102366370983491,-0.09688481438096909,-0.014177361173203732,-21.54391686920647,-49.626168224299064,-3.2154471544715406,True,True,6.616246051891446
PANEL_1X2,PANEL_1X2,200,3,712,0.05847819188336653,0.018668749250854707,0.10367268731624402,21.446580387741236,13.258374861572538,29.584440072142975,True,True,6.609408691972471
MICROCHIP_TRIANGLE,MICROCHIP_TRIANGLE,200,3,558,0.05808133548494968,-0.10546600398746031,0.15012612623905508,20.526420432976817,-48.55319256415437,56.89279869067103,False,False,6.3321701363478935
