name,path,n_products,micro_bias_mult,micro_take_edge,min_edge,returncode,total_pnl,day_2,day_3,day_4,stdout_tail
focus_totalpos_m1p25_t5p5_e0p0,research/round5/generated_traders/focus_totalpos_m1p25_t5p5_e0p0.py,38,1.25,5.5,0.0,0,557057.5,186544.5,186515.5,183997.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_totalpos_m1p25_t5p5_e0p0.py --dataset round5 --products off --artifact-mode none`
trader: focus_totalpos_m1p25_t5p5_e0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7290    186544.50  runs/backtest-1777385925287-round5-day+2
D+3               3    10000        8858    186515.50  runs/backtest-1777385925287-round5-day+3
D+4               4    10000        7932    183997.50  runs/backtest-1777385925287-round5-day+4
TOTAL             -    30000       24080    557057.50  -
"
focus_robust_m0p75_t6p0_e0p5,research/round5/generated_traders/focus_robust_m0p75_t6p0_e0p5.py,41,0.75,6.0,0.5,0,556622.0,165873.5,164042.5,226706.0,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_robust_m0p75_t6p0_e0p5.py --dataset round5 --products off --artifact-mode none`
trader: focus_robust_m0p75_t6p0_e0p5.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7699    165873.50  runs/backtest-1777386140895-round5-day+2
D+3               3    10000        9367    164042.50  runs/backtest-1777386140895-round5-day+3
D+4               4    10000        8374    226706.00  runs/backtest-1777386140895-round5-day+4
TOTAL             -    30000       25440    556622.00  -
"
focus_totalpos_m0p75_t6p0_e1p0,research/round5/generated_traders/focus_totalpos_m0p75_t6p0_e1p0.py,38,0.75,6.0,1.0,0,556573.5,171138.5,168559.5,216875.5,"che
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on build directory
    Finished `release` profile [optimized] target(s) in 0.05s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_totalpos_m0p75_t6p0_e1p0.py --dataset round5 --products off --artifact-mode none`
trader: focus_totalpos_m0p75_t6p0_e1p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7104    171138.50  runs/backtest-1777385854131-round5-day+2
D+3               3    10000        8628    168559.50  runs/backtest-1777385854131-round5-day+3
D+4               4    10000        7735    216875.50  runs/backtest-1777385854131-round5-day+4
TOTAL             -    30000       23467    556573.50  -
"
focus_totalpos_m1p25_t5p5_e1p0,research/round5/generated_traders/focus_totalpos_m1p25_t5p5_e1p0.py,38,1.25,5.5,1.0,0,556519.5,188484.5,184622.5,183412.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_totalpos_m1p25_t5p5_e1p0.py --dataset round5 --products off --artifact-mode none`
trader: focus_totalpos_m1p25_t5p5_e1p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7258    188484.50  runs/backtest-1777385933146-round5-day+2
D+3               3    10000        8815    184622.50  runs/backtest-1777385933146-round5-day+3
D+4               4    10000        7910    183412.50  runs/backtest-1777385933146-round5-day+4
TOTAL             -    30000       23983    556519.50  -
"
focus_robust_m1p25_t5p5_e0p5,research/round5/generated_traders/focus_robust_m1p25_t5p5_e0p5.py,41,1.25,5.5,0.5,0,555550.5,180897.5,180651.0,194002.0,"    Blocking waiting for file lock on package cache
    Blocking waiting for file lock on build directory
    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_robust_m1p25_t5p5_e0p5.py --dataset round5 --products off --artifact-mode none`
trader: focus_robust_m1p25_t5p5_e0p5.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7849    180897.50  runs/backtest-1777386220472-round5-day+2
D+3               3    10000        9546    180651.00  runs/backtest-1777386220472-round5-day+3
D+4               4    10000        8540    194002.00  runs/backtest-1777386220472-round5-day+4
TOTAL             -    30000       25935    555550.50  -
"
focus_totalpos_m1p0_t4p0_e0p5,research/round5/generated_traders/focus_totalpos_m1p0_t4p0_e0p5.py,38,1.0,4.0,0.5,0,554457.5,178843.5,181774.5,193839.5,"    Blocking waiting for file lock on package cache
    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_totalpos_m1p0_t4p0_e0p5.py --dataset round5 --products off --artifact-mode none`
trader: focus_totalpos_m1p0_t4p0_e0p5.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7268    178843.50  runs/backtest-1777385869923-round5-day+2
D+3               3    10000        8841    181774.50  runs/backtest-1777385869923-round5-day+3
D+4               4    10000        7912    193839.50  runs/backtest-1777385869923-round5-day+4
TOTAL             -    30000       24021    554457.50  -
"
focus_robust_m1p25_t5p5_e0p0,research/round5/generated_traders/focus_robust_m1p25_t5p5_e0p0.py,41,1.25,5.5,0.0,0,553563.5,178946.5,180629.0,193988.0,"    Blocking waiting for file lock on package cache
    Finished `release` profile [optimized] target(s) in 0.03s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_robust_m1p25_t5p5_e0p0.py --dataset round5 --products off --artifact-mode none`
trader: focus_robust_m1p25_t5p5_e0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7860    178946.50  runs/backtest-1777386220494-round5-day+2
D+3               3    10000        9549    180629.00  runs/backtest-1777386220494-round5-day+3
D+4               4    10000        8542    193988.00  runs/backtest-1777386220494-round5-day+4
TOTAL             -    30000       25951    553563.50  -
"
focus_totalpos_m1p0_t4p0_e0p0,research/round5/generated_traders/focus_totalpos_m1p0_t4p0_e0p0.py,38,1.0,4.0,0.0,0,553471.5,177327.5,181815.5,194328.5,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_totalpos_m1p0_t4p0_e0p0.py --dataset round5 --products off --artifact-mode none`
trader: focus_totalpos_m1p0_t4p0_e0p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7278    177327.50  runs/backtest-1777385869944-round5-day+2
D+3               3    10000        8847    181815.50  runs/backtest-1777385869944-round5-day+3
D+4               4    10000        7918    194328.50  runs/backtest-1777385869944-round5-day+4
TOTAL             -    30000       24043    553471.50  -
"
focus_robust_m0p75_t6p0_e1p0,research/round5/generated_traders/focus_robust_m0p75_t6p0_e1p0.py,41,0.75,6.0,1.0,0,553113.5,163540.5,162673.0,226900.0,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_robust_m0p75_t6p0_e1p0.py --dataset round5 --products off --artifact-mode none`
trader: focus_robust_m0p75_t6p0_e1p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7674    163540.50  runs/backtest-1777386148228-round5-day+2
D+3               3    10000        9319    162673.00  runs/backtest-1777386148228-round5-day+3
D+4               4    10000        8344    226900.00  runs/backtest-1777386148228-round5-day+4
TOTAL             -    30000       25337    553113.50  -
"
focus_robust_m1p25_t5p5_e1p0,research/round5/generated_traders/focus_robust_m1p25_t5p5_e1p0.py,41,1.25,5.5,1.0,0,553059.5,180886.5,178736.0,193437.0,"    Finished `release` profile [optimized] target(s) in 0.02s
     Running `/Users/giordanmasen/Library/Caches/rust_backtester/target/release/rust_backtester --trader /Users/giordanmasen/Desktop/projects/prosperity/research/round5/generated_traders/focus_robust_m1p25_t5p5_e1p0.py --dataset round5 --products off --artifact-mode none`
trader: focus_robust_m1p25_t5p5_e1p0.py
dataset: round5
mode: fast
artifacts: metrics-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7828    180886.50  runs/backtest-1777386221798-round5-day+2
D+3               3    10000        9506    178736.00  runs/backtest-1777386221798-round5-day+3
D+4               4    10000        8519    193437.00  runs/backtest-1777386221798-round5-day+4
TOTAL             -    30000       25853    553059.50  -
"
