day,leader,follower,lag,corr
2,GALAXY_SOUNDS_PLANETARY_RINGS,MICROCHIP_TRIANGLE,1,0.026558844327497905
2,GALAXY_SOUNDS_SOLAR_FLAMES,MICROCHIP_RECTANGLE,1,-0.025558315003114673
2,GALAXY_SOUNDS_SOLAR_FLAMES,PEBBLES_XS,1,-0.028691556125755895
2,MICROCHIP_CIRCLE,PEBBLES_M,1,-0.030132532026770308
2,MICROCHIP_TRIANGLE,PANEL_2X2,1,0.036397027040250586
2,MICROCHIP_TRIANGLE,ROBOT_MOPPING,1,0.025762288217661505
2,MICROCHIP_TRIANGLE,UV_VISOR_AMBER,1,-0.025497588955024013
2,OXYGEN_SHAKE_EVENING_BREATH,GALAXY_SOUNDS_SOLAR_WINDS,1,-0.029455191490718582
2,OXYGEN_SHAKE_GARLIC,PANEL_1X2,1,-0.025904051198140206
2,OXYGEN_SHAKE_GARLIC,PANEL_2X4,1,-0.03086159771975789
2,OXYGEN_SHAKE_GARLIC,SNACKPACK_PISTACHIO,1,-0.03570312128815015
2,OXYGEN_SHAKE_GARLIC,SNACKPACK_STRAWBERRY,1,-0.032343051906466164
2,OXYGEN_SHAKE_MORNING_BREATH,SNACKPACK_RASPBERRY,1,-0.026969821548219076
2,PANEL_4X4,GALAXY_SOUNDS_PLANETARY_RINGS,1,-0.025436320400636075
2,PEBBLES_L,GALAXY_SOUNDS_DARK_MATTER,1,0.02818945484790097
2,PEBBLES_L,ROBOT_MOPPING,1,-0.02522660946471926
2,PEBBLES_XL,GALAXY_SOUNDS_DARK_MATTER,1,-0.026212376257005444
2,PEBBLES_XL,OXYGEN_SHAKE_MORNING_BREATH,1,0.025075728919631002
2,PEBBLES_XL,ROBOT_MOPPING,1,0.02789285197491017
2,ROBOT_DISHES,TRANSLATOR_SPACE_GRAY,1,-0.026422752706629755
2,ROBOT_LAUNDRY,OXYGEN_SHAKE_CHOCOLATE,1,-0.026210065960422194
2,ROBOT_LAUNDRY,SNACKPACK_PISTACHIO,1,-0.025392818670876713
2,ROBOT_VACUUMING,MICROCHIP_TRIANGLE,1,-0.031159623786046288
2,SLEEP_POD_COTTON,PEBBLES_L,1,0.02570424334955779
2,SLEEP_POD_NYLON,MICROCHIP_TRIANGLE,1,-0.025414016614648392
2,SLEEP_POD_POLYESTER,ROBOT_DISHES,1,-0.030793560738954732
2,SLEEP_POD_POLYESTER,ROBOT_MOPPING,1,-0.02745703061115733
2,SNACKPACK_CHOCOLATE,OXYGEN_SHAKE_GARLIC,1,-0.03276480082921505
2,SNACKPACK_CHOCOLATE,SLEEP_POD_SUEDE,1,-0.02533909307001596
2,SNACKPACK_CHOCOLATE,UV_VISOR_ORANGE,1,-0.029246002032106644
2,SNACKPACK_PISTACHIO,TRANSLATOR_ASTRO_BLACK,1,-0.02747456335722405
2,SNACKPACK_PISTACHIO,UV_VISOR_MAGENTA,1,-0.03332127375886365
2,SNACKPACK_RASPBERRY,PANEL_4X4,1,-0.02599353211360315
2,SNACKPACK_RASPBERRY,ROBOT_IRONING,1,-0.02534435317838904
2,SNACKPACK_RASPBERRY,ROBOT_LAUNDRY,1,-0.025881911998892865
2,SNACKPACK_RASPBERRY,TRANSLATOR_ASTRO_BLACK,1,0.025701579867256952
2,SNACKPACK_RASPBERRY,UV_VISOR_YELLOW,1,-0.025995178887936933
2,SNACKPACK_STRAWBERRY,ROBOT_LAUNDRY,1,0.02701114160768635
2,SNACKPACK_STRAWBERRY,TRANSLATOR_ASTRO_BLACK,1,-0.03262263659507928
2,SNACKPACK_STRAWBERRY,TRANSLATOR_VOID_BLUE,1,-0.025808153682710906
2,SNACKPACK_STRAWBERRY,UV_VISOR_MAGENTA,1,-0.02567010398721211
2,SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,1,-0.03574618859812618
2,TRANSLATOR_GRAPHITE_MIST,GALAXY_SOUNDS_BLACK_HOLES,1,-0.026054459357873764
2,TRANSLATOR_GRAPHITE_MIST,PEBBLES_XL,1,0.02795613988808008
2,TRANSLATOR_SPACE_GRAY,OXYGEN_SHAKE_CHOCOLATE,1,0.025450529172156806
2,UV_VISOR_AMBER,SNACKPACK_CHOCOLATE,1,-0.03471226331174091
2,UV_VISOR_ORANGE,MICROCHIP_SQUARE,1,-0.03466874507343297
2,UV_VISOR_ORANGE,SLEEP_POD_POLYESTER,1,-0.027857247881443524
2,GALAXY_SOUNDS_DARK_MATTER,PEBBLES_L,2,-0.026910229321973244
2,MICROCHIP_OVAL,UV_VISOR_RED,2,-0.026072378009863183
2,MICROCHIP_RECTANGLE,TRANSLATOR_GRAPHITE_MIST,2,-0.028217110652895012
2,MICROCHIP_TRIANGLE,TRANSLATOR_ASTRO_BLACK,2,0.028246564413396954
2,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_EVENING_BREATH,2,-0.03458183671130322
2,OXYGEN_SHAKE_EVENING_BREATH,PEBBLES_XS,2,-0.02529781001388851
2,OXYGEN_SHAKE_EVENING_BREATH,UV_VISOR_RED,2,0.027954862423197023
2,OXYGEN_SHAKE_MORNING_BREATH,GALAXY_SOUNDS_SOLAR_FLAMES,2,0.032287550533580345
2,PANEL_1X2,ROBOT_IRONING,2,-0.033545494146333794
2,PANEL_1X4,ROBOT_MOPPING,2,-0.03202445345415544
2,PANEL_2X4,UV_VISOR_YELLOW,2,-0.025104968237910457
2,PEBBLES_M,TRANSLATOR_GRAPHITE_MIST,2,-0.025265148040543885
2,PEBBLES_XL,GALAXY_SOUNDS_PLANETARY_RINGS,2,0.027224170141062907
