name,mw,i1w,i3w,total,d1,d2,d3,rc,path
mw1_i10p25_i3m0p25,1,0.25,-0.25,734876.0,284434.0,195143.0,255299.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw1_i10p25_i3m0p25.py
mw0p5_i10_i3m0p25,0.5,0,-0.25,734819.0,265160.0,204299.0,265360.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw0p5_i10_i3m0p25.py
i3_m0p75,0,0,-0.75,734811.0,262431.0,205390.0,266990.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i3_m0p75.py
mw1_i10_i3m0p5,1,0,-0.5,734740.0,265596.0,203921.0,265223.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw1_i10_i3m0p5.py
i3_m1p5,0,0,-1.5,734610.0,262721.0,204819.0,267070.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i3_m1p5.py
i3_m1,0,0,-1,734567.0,262474.0,205156.0,266937.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i3_m1.py
i3_m0p25,0,0,-0.25,734547.0,262641.0,205489.0,266417.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i3_m0p25.py
mw0p5_i10_i30p25,0.5,0,0.25,734481.0,264455.0,204367.0,265659.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw0p5_i10_i30p25.py
i3_m0p1,0,0,-0.1,734465.0,262108.0,205530.0,266827.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i3_m0p1.py
i3_m0p5,0,0,-0.5,734258.0,262489.0,205477.0,266292.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i3_m0p5.py
mw1p5_i1m0p25_i3m0p5,1.5,-0.25,-0.5,734247.0,264169.0,204524.0,265554.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw1p5_i1m0p25_i3m0p5.py
mw1p5_i10_i30p25,1.5,0,0.25,734042.0,269463.0,201959.0,262620.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw1p5_i10_i30p25.py
i3_0p1,0,0,0.1,734031.0,261652.0,205552.0,266827.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/i3_0p1.py
mw0p5_i10_i30p5,0.5,0,0.5,733973.0,264043.0,204200.0,265730.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_depth/mw0p5_i10_i30p5.py
