day,feature,n,pearson_fwd1,pearson_fwd1_pct,hit_rate,corr_lag_1,corr_lag_2,corr_lag_3,corr_lag_5,corr_lag_10
0,flow,120000,0.015631000289095417,0.003396108348865666,0.3051798928298035,-0.011431459396986992,-0.008108888722072261,-0.00659320536935389,-0.005072655236209223,-0.0033666527604534324
0,imbalance,120000,-0.21788330951497709,-0.044987582352304864,0.046132500867152273,-0.012171762868728299,-0.00835756525836758,-0.0067814903255577555,0.000808010285647506,0.0004866488168577806
0,micro_edge,120000,0.20402895342795113,0.084779417395063,0.457282000153386,0.01122652217030263,0.010923510883405948,0.011341594936493478,0.005691052933816627,0.0025634467966308304
0,wall_mid,120000,-0.0010999560472068363,-0.0020033910808215424,0.24340833333333334,-0.008627191542324844,-0.012201644794730696,-0.014947031773885318,-0.019298710417703254,-0.027290843108276664
1,flow,120000,0.0024370546163247696,0.0048039439047238295,0.2927824534557511,0.01223718559009428,0.008448931333642383,0.006810148085829014,0.005428950274418122,0.0040269926976462134
1,imbalance,120000,-0.21901482551444898,-0.038802114316586894,0.051735647530040056,-0.01212432212303634,-0.008546685130021776,-0.006982501104424733,-0.005566133972293363,-0.0038353660582433084
1,micro_edge,120000,0.20822891857891804,0.07556730726231593,0.46499979639206745,0.011399571179373279,0.004814893527554096,0.006197670100945112,0.00463731603737934,0.0060781359314326855
1,wall_mid,120000,0.0011111779983454077,-0.002701082183773289,0.24495,-0.008542339536214116,-0.012084893217111753,-0.014802027997484453,-0.019109866566235246,-0.027032566948329294
2,flow,119988,0.015299902680690376,0.0040558064325501835,0.3115590711916305,0.012938128963152305,0.009005631741693935,0.00743794468955811,0.005658470250440031,0.004042202311926628
2,imbalance,119988,-0.20980293334938643,-0.023993050266872224,0.04778514126264388,-0.011704875318729253,-0.008001892981484345,-0.006698344948428174,-0.004820100618192579,-0.0034512428299730996
2,micro_edge,119988,0.19899316965460567,0.059369458477792396,0.4641469143711296,0.015238541860701001,0.010435893028911729,0.011307617009085625,0.0052277679833934425,0.0050705747255470075
2,wall_mid,119988,-0.00023379996954257633,-0.0032749010772861625,0.2456078941227456,-0.008615877031489623,-0.012185317669142293,-0.014923881923610145,-0.019269939873465574,-0.027248653295392545
