product,w_micro,w_inv_imb,corr_signal_next_return,hit_rate,proxy_pnl
HYDROGEL_PACK,1.5,1.5,0.3036485410702058,0.9737373737373738,7199.688221335113
VELVETFRUIT_EXTRACT,1.5,1.5,0.2328855905044502,0.4961332878426021,11002.894994380367
VEV_4000,1.5,1.5,0.4817526279726623,0.994535519125683,11864.917800729827
VEV_4500,1.5,1.5,0.40073832950850363,0.9963570127504554,5866.786990642828
VEV_5000,1.5,1.5,0.19481863030580396,0.4471430483072394,9357.279168508961
VEV_5100,1.5,1.5,0.21283077079900356,0.4411051866214251,5903.463852760406
VEV_5200,1.5,1.5,0.2796171416882206,0.45075757575757575,3715.8931713929414
VEV_5300,1.5,1.5,0.35179863749211604,0.437125748502994,2052.2642008423927
VEV_5400,1.5,1.5,0.27426509521090503,0.41626650660264103,273.652449982826
VEV_5500,1.5,1.5,0.2871948344080491,0.3553178847296494,121.48280488997251
VEV_6000,0.25,0.25,nan,0.0,0.0
VEV_6500,0.25,0.25,nan,0.0,0.0
