sym,i1,i3,total,d1,d2,d3,rc,path
VEV_5100,0.25,-1.0,744617.0,276250.0,204566.0,263801.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i10p25_i3m1p0.py
VEV_5100,0.25,0,744438.0,275822.0,204726.0,263890.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i10p25_i30.py
VEV_5100,0.25,0.5,744366.0,275567.0,204726.0,264073.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i10p25_i30p5.py
VEV_5100,0.25,1.0,744004.0,275136.0,204726.0,264142.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5100_i10p25_i31p0.py
VELVETFRUIT_EXTRACT,0,-1.0,742089.0,273410.0,204319.0,264360.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VELVETFRUITEXTRACT_i10_i3m1p0.py
VELVETFRUIT_EXTRACT,0,-0.5,741860.0,273549.0,204348.0,263963.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VELVETFRUITEXTRACT_i10_i3m0p5.py
VELVETFRUIT_EXTRACT,-0.25,-2.0,741837.0,274013.0,203897.0,263927.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VELVETFRUITEXTRACT_i1m0p25_i3m2p0.py
VELVETFRUIT_EXTRACT,0,-2.0,741720.0,273492.0,204149.0,264079.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VELVETFRUITEXTRACT_i10_i3m2p0.py
VELVETFRUIT_EXTRACT,0,-1.5,741688.0,273296.0,204205.0,264187.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VELVETFRUITEXTRACT_i10_i3m1p5.py
VEV_5300,0,1.0,741665.0,273086.0,204452.0,264127.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5300_i10_i31p0.py
VEV_5300,0,0,741657.0,273086.0,204444.0,264127.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5300_i10_i30.py
VEV_5300,0,0.5,741657.0,273086.0,204444.0,264127.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5300_i10_i30p5.py
VEV_5300,0,-0.5,741645.0,273086.0,204432.0,264127.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5300_i10_i3m0p5.py
VEV_5300,0,-1.0,741611.0,273052.0,204432.0,264127.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5300_i10_i3m1p0.py
HYDROGEL_PACK,-0.5,-2.0,741604.0,273020.0,203926.0,264658.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/HYDROGELPACK_i1m0p5_i3m2p0.py
VEV_5400,0,0,741586.0,273186.0,204247.0,264153.0,0,/Users/giordanmasen/Desktop/projects/prosperity/tmp_backtests/z_take_product_depth/VEV5400_i10_i30.py
