product,k_micro,k_imbalance,threshold,active_rate,corr,hit_rate,proxy_pnl,mean_abs_signal
HYDROGEL_PACK,0.25,0.0,0.0,1.0,0.29698147543162723,0.9739854318418314,1113.745671820384,0.009291005876454862
HYDROGEL_PACK,0.25,0.0,0.05,0.03136666666666667,0.29606394841749684,0.973432518597237,1110.066787108658,0.009291005876454862
HYDROGEL_PACK,0.25,0.0,0.1,0.029566666666666668,0.2921862727191988,0.9729425028184893,1093.9383955806343,0.009291005876454862
HYDROGEL_PACK,0.25,0.0,0.15,0.026533333333333332,0.2811569506638162,0.9723618090452262,1044.8295221124044,0.009291005876454862
HYDROGEL_PACK,0.25,0.0,0.2,0.022766666666666668,0.26542892489643455,0.9736456808199122,969.400862586821,0.009291005876454862
HYDROGEL_PACK,0.25,0.25,0.0,1.0,0.30364854107016487,0.9737373737373738,1199.94803688898,0.010001553765424614
HYDROGEL_PACK,0.25,0.25,0.05,0.03203333333333333,0.30279400792319533,0.9739854318418314,1196.4145109755837,0.010001553765424614
HYDROGEL_PACK,0.25,0.25,0.1,0.0304,0.2992596589436398,0.9725877192982456,1180.7665109354675,0.010001553765424614
HYDROGEL_PACK,0.25,0.25,0.15,0.028433333333333335,0.2920299917281798,0.9742086752637749,1147.1224580433136,0.010001553765424614
HYDROGEL_PACK,0.25,0.25,0.2,0.024233333333333332,0.27387108241497676,0.9738651994497937,1055.8397835508395,0.010001553765424614
HYDROGEL_PACK,0.25,0.5,0.0,1.0,0.30914988002515387,0.9737373737373738,1286.1504019577224,0.010712101654396186
HYDROGEL_PACK,0.25,0.5,0.05,0.033,0.30914988002515387,0.9737373737373738,1286.1504019577224,0.010712101654396186
HYDROGEL_PACK,0.25,0.5,0.1,0.0319,0.3070865785961763,0.9738766980146291,1276.7684759175872,0.010712101654396186
HYDROGEL_PACK,0.25,0.5,0.15,0.029733333333333334,0.3005779893387783,0.9719730941704036,1244.7932819306734,0.010712101654396186
HYDROGEL_PACK,0.25,0.5,0.2,0.026833333333333334,0.2879236286074319,0.9726708074534162,1178.7967382502893,0.010712101654396186
HYDROGEL_PACK,0.25,0.75,0.0,1.0,0.3136972791584563,0.9737373737373738,1372.3527670270478,0.011422649543372609
HYDROGEL_PACK,0.25,0.75,0.05,0.033,0.3136972791584563,0.9737373737373738,1372.3527670270478,0.011422649543372609
HYDROGEL_PACK,0.25,0.75,0.1,0.03233333333333333,0.31225505059024244,0.9731958762886598,1365.2262883858548,0.011422649543372609
HYDROGEL_PACK,0.25,0.75,0.15,0.0306,0.3069248996850242,0.9727668845315904,1337.4617369352436,0.011422649543372609
